logY Y P PoverSqrtY A AoverSqrtY
7.22911 1379 11.3284 0.305060 0.061845 0.001665
7.23056 1381 11.3531 0.305505 -0.071036 -0.001912
7.23273 1384 11.2738 0.303043 0.074086 0.001991
7.23418 1386 11.4852 0.308501 0.002214 0.000059
7.23634 1389 11.4438 0.307058 0.037371 0.001003
7.23850 1392 11.3120 0.303192 -0.137991 -0.003699
7.23993 1394 11.2462 0.301214 0.038216 0.001024
7.24208 1397 11.9170 0.318838 -0.047382 -0.001268
7.24351 1399 11.4414 0.305893 0.094067 0.002515
7.24566 1402 11.4873 0.306792 -0.006438 -0.000172
7.24708 1404 11.6156 0.309997 0.199845 0.005333
7.24922 1407 11.5966 0.309160 0.009700 0.000259
7.25134 1410 12.0464 0.320811 0.061525 0.001638
7.25276 1412 12.3161 0.327759 -0.055483 -0.001477
7.25488 1415 12.2027 0.324398 0.071277 0.001895
7.25700 1418 12.1685 0.323147 0.115480 0.003067
7.25841 1420 12.4054 0.329205 0.087443 0.002321
7.26052 1423 11.9208 0.316012 0.088098 0.002335
7.26263 1426 11.9370 0.316109 -0.015975 -0.000423
7.26403 1428 12.0774 0.319602 0.099125 0.002623
7.26613 1431 12.1748 0.321842 -0.037286 -0.000986
7.26753 1433 12.1985 0.322242 0.069612 0.001839
7.26962 1436 12.1593 0.320872 -0.070917 -0.001871
7.27170 1439 11.8757 0.313062 0.054864 0.001446
7.27309 1441 12.1223 0.319339 -0.032511 -0.000856
7.27517 1444 12.0674 0.317564 0.013502 0.000355
7.27725 1447 11.8575 0.311717 -0.119113 -0.003131
7.27932 1450 11.8998 0.312503 0.014776 0.000388
7.28070 1452 11.6421 0.305527 -0.091071 -0.002390
7.28276 1455 11.8374 0.310330 0.076271 0.002000
7.28482 1458 11.3405 0.296997 0.076912 0.002014
7.28619 1460 11.9873 0.313723 0.034911 0.000914
7.28824 1463 11.9326 0.311969 0.081227 0.002124
7.29029 1466 12.3059 0.321400 -0.042404 -0.001107
7.29166 1468 12.1221 0.316385 0.033443 0.000873
7.29370 1471 11.6587 0.303978 0.003240 0.000084
7.29574 1474 11.6320 0.302974 0.020242 0.000527
7.29777 1477 11.5862 0.301475 -0.095399 -0.002482
7.29912 1479 11.5662 0.300750 0.041370 0.001076
7.30115 1482 11.3498 0.294825 -0.017231 -0.000448
7.30317 1485 11.4553 0.297266 -0.011370 -0.000295
7.30519 1488 11.0606 0.286732 0.102393 0.002654
7.30653 1490 11.1665 0.289284 -0.020646 -0.000535
7.30854 1493 10.5311 0.272550 0.113264 0.002931
7.31055 1496 10.7093 0.276882 0.000289 0.000007
7.31255 1499 10.6618 0.275378 0.012043 0.000311
7.31455 1502 10.4506 0.269654 -0.167654 -0.004326
7.31588 1504 10.3692 0.267375 0.120324 0.003103
7.31788 1507 10.4424 0.268995 -0.040462 -0.001042
7.31986 1510 10.5513 0.271531 0.003233 0.000083
7.32185 1513 9.6494 0.248073 0.068620 0.001764
7.32383 1516 9.7890 0.251414 -0.039853 -0.001024
7.32515 1518 9.6148 0.246778 0.031709 0.000814
7.32712 1521 9.4901 0.243335 -0.088544 -0.002270
7.32909 1524 9.4175 0.241237 -0.021269 -0.000545
7.33106 1527 9.4334 0.241407 -0.040640 -0.001040
7.33302 1530 9.5680 0.244610 0.024453 0.000625
7.33498 1533 9.3932 0.239907 0.025069 0.000640
7.33629 1535 8.5287 0.217686 -0.020969 -0.000535
7.33824 1538 8.5755 0.218665 0.174158 0.004441
7.34019 1541 8.9765 0.228668 0.055018 0.001402
7.34213 1544 9.0935 0.231424 0.067677 0.001722
7.34407 1547 9.0601 0.230349 -0.035022 -0.000890
7.34601 1550 9.1133 0.231478 -0.017802 -0.000452
7.34794 1553 8.7584 0.222249 0.033326 0.000846
7.34923 1555 8.6298 0.218844 0.011458 0.000291
7.35116 1558 8.5169 0.215773 0.210155 0.005324
7.35308 1561 8.4339 0.213466 0.017474 0.000442
7.35500 1564 8.5098 0.215178 0.089570 0.002265
7.35692 1567 8.5363 0.215642 -0.103986 -0.002627
7.35883 1570 8.5249 0.215149 0.048675 0.001228
7.36074 1573 8.4642 0.213414 0.148579 0.003746
7.36265 1576 8.6620 0.218192 -0.050815 -0.001280
7.36455 1579 8.0024 0.201386 -0.010209 -0.000257
7.36645 1582 8.0531 0.202470 -0.021630 -0.000544
7.36834 1585 8.3658 0.210131 0.032650 0.000820
7.37023 1588 8.2246 0.206390 0.079576 0.001997
7.37149 1590 8.3436 0.209246 0.005466 0.000137
7.37337 1593 8.3301 0.208709 0.132359 0.003316
7.37526 1596 8.7317 0.218566 -0.064122 -0.001605
7.37713 1599 8.0023 0.200121 -0.058450 -0.001462
7.37901 1602 7.6406 0.190897 -0.126593 -0.003163
7.38088 1605 7.6251 0.190330 -0.000396 -0.000010
7.38275 1608 7.1311 0.177834 0.087844 0.002191
7.38461 1611 7.1498 0.178135 -0.063257 -0.001576
7.38647 1614 6.8444 0.170365 0.049212 0.001225
7.38833 1617 6.7762 0.168512 -0.117938 -0.002933
7.39018 1620 6.4473 0.160185 -0.049642 -0.001233
7.39203 1623 6.1206 0.151928 0.085980 0.002134
7.39388 1626 6.3528 0.157544 0.060437 0.001499
7.39572 1629 6.0510 0.149923 0.126732 0.003140
7.39756 1632 6.2042 0.153578 -0.012920 -0.000320
7.39940 1635 6.0051 0.148511 0.078576 0.001943
7.40123 1638 6.4826 0.160174 0.079162 0.001956
7.40306 1641 6.4464 0.159134 -0.055451 -0.001369
7.40550 1645 6.4682 0.159478 -0.084272 -0.002078
7.40732 1648 6.2166 0.153134 0.057081 0.001406
7.40914 1651 6.2985 0.155011 -0.028031 -0.000690
7.41095 1654 6.2063 0.152604 0.036416 0.000895
7.41276 1657 6.5804 0.161657 -0.001893 -0.000046
7.41457 1660 6.7284 0.165141 0.006359 0.000156
7.41638 1663 6.5371 0.160302 0.075133 0.001842
7.41818 1666 6.5144 0.159602 -0.079757 -0.001954
7.41998 1669 5.9942 0.146726 0.065518 0.001604
7.42178 1672 5.9513 0.145543 -0.085258 -0.002085
7.42357 1675 5.9062 0.144312 -0.010073 -0.000246
7.42536 1678 5.6279 0.137389 0.078503 0.001916
7.42774 1682 5.9543 0.145185 -0.008159 -0.000199
7.42952 1685 6.1007 0.148620 0.001865 0.000045
7.43130 1688 5.9211 0.144117 0.034626 0.000843
7.43308 1691 5.8862 0.143141 0.004871 0.000118
7.43485 1694 5.8845 0.142971 0.060197 0.001463
7.43662 1697 5.9452 0.144319 -0.070976 -0.001723
7.43838 1700 6.3874 0.154917 -0.068094 -0.001652
7.44073 1704 6.1771 0.149641 0.001277 0.000031
7.44249 1707 6.7315 0.162929 -0.177452 -0.004295
7.44425 1710 6.4221 0.155302 0.012136 0.000293
7.44600 1713 6.2749 0.151610 0.187589 0.004532
7.44775 1716 6.6333 0.160130 0.013103 0.000316
7.44950 1719 7.1238 0.171819 0.086512 0.002087
7.45182 1723 6.6092 0.159222 0.134839 0.003248
7.45356 1726 6.8585 0.165085 0.028379 0.000683
7.45530 1729 7.8488 0.188759 0.093328 0.002244
7.45703 1732 7.8824 0.189403 -0.104410 -0.002509
7.45876 1735 8.4959 0.203966 -0.012944 -0.000311
7.46107 1739 8.2615 0.198111 -0.032219 -0.000773
7.46279 1742 8.0817 0.193633 -0.061314 -0.001469
7.46451 1745 8.1508 0.195121 0.080742 0.001933
7.46623 1748 8.1449 0.194811 0.081297 0.001944
7.46851 1752 8.0651 0.192682 -0.135796 -0.003244
7.47022 1755 8.4481 0.201660 -0.053381 -0.001274
