logY Y P PoverSqrtY A AoverSqrtY
7.69303 2193 122.7231 2.620638 0.291847 0.006232
7.69485 2197 123.2375 2.629225 0.131303 0.002801
7.69667 2201 123.6823 2.636317 -0.121999 -0.002600
7.69848 2205 123.8405 2.637293 0.047180 0.001005
7.70030 2209 124.2597 2.643824 0.127562 0.002714
7.70210 2213 124.3070 2.642439 0.099279 0.002110
7.70391 2217 124.4786 2.643698 0.065464 0.001390
7.70571 2221 125.0715 2.653898 -0.015711 -0.000333
7.70796 2226 125.5676 2.661429 -0.045179 -0.000958
7.70976 2230 125.8975 2.666028 0.003146 0.000067
7.71155 2234 126.3599 2.673424 0.150838 0.003191
7.71334 2238 126.5255 2.674533 0.117696 0.002488
7.71512 2242 126.5151 2.671927 0.004792 0.000101
7.71691 2246 126.7790 2.675114 -0.043244 -0.000912
7.71869 2250 127.0857 2.679202 0.026542 0.000560
7.72091 2255 127.2928 2.680591 -0.024831 -0.000523
7.72268 2259 127.6325 2.685364 0.177350 0.003731
7.72445 2263 127.8607 2.687786 0.155624 0.003271
7.72621 2267 127.9927 2.688188 0.084087 0.001766
7.72798 2271 128.5062 2.696594 -0.032821 -0.000689
7.73017 2276 128.8168 2.700141 -0.087647 -0.001837
7.73193 2280 128.8278 2.698002 -0.009927 -0.000208
7.73368 2284 129.0255 2.699775 0.142892 0.002990
7.73543 2288 129.1460 2.699932 0.150427 0.003145
7.73762 2293 129.1306 2.696667 0.199385 0.004164
7.73936 2297 129.3336 2.698552 0.034900 0.000728
7.74110 2301 129.5366 2.700438 -0.129860 -0.002707
7.74284 2305 129.4875 2.697070 -0.095618 -0.001992
7.74500 2310 129.7827 2.700292 0.122912 0.002557
7.74673 2314 130.2176 2.706999 0.085737 0.001782
7.74846 2318 130.1970 2.704233 0.139986 0.002908
7.75061 2323 130.3922 2.705373 0.158967 0.003298
7.75234 2327 130.5238 2.705774 0.000575 0.000012
7.75405 2331 130.5856 2.704732 -0.198267 -0.004107
7.75620 2336 130.9400 2.709168 -0.013645 -0.000282
7.75791 2340 131.4380 2.717147 0.019314 0.000399
7.75961 2344 131.6359 2.718915 0.088186 0.001821
7.76174 2349 132.0478 2.724518 0.135424 0.002794
7.76345 2353 132.3439 2.728305 0.162956 0.003359
7.76514 2357 132.3534 2.726186 -0.031537 -0.000650
7.76726 2362 132.5705 2.727766 0.135885 0.002796
7.76896 2366 133.0936 2.736213 -0.049028 -0.001008
7.77107 2371 133.6521 2.744796 0.029927 0.000615
7.77275 2375 134.2165 2.754064 0.088402 0.001814
7.77444 2379 134.6718 2.761083 0.099132 0.002032
7.77654 2384 134.7540 2.759870 0.136301 0.002792
7.77821 2388 134.9510 2.761588 0.220836 0.004519
7.78030 2393 135.2749 2.765322 0.217484 0.004446
7.78197 2397 135.5398 2.768425 0.104455 0.002134
7.78406 2402 136.0203 2.775347 0.099491 0.002030
7.78572 2406 136.3758 2.780286 -0.142329 -0.002902
7.78738 2410 136.2916 2.776264 0.036839 0.000750
7.78945 2415 136.6587 2.780857 0.022439 0.000457
7.79111 2419 136.7888 2.781203 0.125929 0.002560
7.79317 2424 136.9857 2.782333 0.089727 0.001822
7.79482 2428 137.0954 2.782265 0.229959 0.004667
7.79688 2433 137.4821 2.787245 0.150710 0.003055
7.79852 2437 137.6786 2.788936 0.105872 0.002145
7.80057 2442 138.1060 2.794730 0.016859 0.000341
7.80262 2447 138.2292 2.794363 -0.028312 -0.000572
7.80425 2451 138.4243 2.796024 -0.083659 -0.001690
7.80629 2456 139.0817 2.806440 -0.028008 -0.000565
7.80792 2460 139.4353 2.811287 -0.028726 -0.000579
