logY Y P PoverSqrtY A AoverSqrtY
7.21229 1356 19.0447 0.517184 -0.020282 -0.000551
7.21377 1358 18.7144 0.507840 0.076111 0.002065
7.21598 1361 19.0375 0.516036 0.006879 0.000186
7.21744 1363 18.8491 0.510554 0.074002 0.002004
7.21964 1366 18.9251 0.512050 -0.069671 -0.001885
7.22111 1368 19.1185 0.516906 0.134804 0.003645
7.22330 1371 19.3315 0.522092 0.074585 0.002014
7.22548 1374 19.1430 0.516436 0.139590 0.003766
7.22694 1376 19.3630 0.521991 0.006709 0.000181
7.22911 1379 19.4383 0.523450 0.061845 0.001665
7.23056 1381 19.4955 0.524611 -0.071036 -0.001912
7.23273 1384 19.4649 0.523220 0.074086 0.001991
7.23418 1386 19.7087 0.529391 0.002214 0.000059
7.23634 1389 19.7160 0.529016 0.037371 0.001003
7.23850 1392 19.6328 0.526215 -0.137991 -0.003699
7.23993 1394 19.5995 0.524945 0.038216 0.001024
7.24208 1397 20.3190 0.543632 -0.047382 -0.001268
7.24351 1399 19.8758 0.531393 0.094067 0.002515
7.24566 1402 19.9704 0.533350 -0.006438 -0.000172
7.24708 1404 20.1311 0.537258 0.199845 0.005333
7.24922 1407 20.1608 0.537478 0.009700 0.000259
7.25134 1410 20.6593 0.550182 0.061525 0.001638
7.25276 1412 20.9614 0.557832 -0.055483 -0.001477
7.25488 1415 20.8967 0.555519 0.071277 0.001895
7.25700 1418 20.9112 0.555316 0.115480 0.003067
7.25841 1420 21.1805 0.562073 0.087443 0.002321
7.26052 1423 20.7446 0.549923 0.088098 0.002335
7.26263 1426 20.8095 0.551065 -0.015975 -0.000423
7.26403 1428 20.9823 0.555251 0.099125 0.002623
7.26613 1431 21.1284 0.558529 -0.037286 -0.000986
7.26753 1433 21.1845 0.559623 0.069612 0.001839
7.26962 1436 21.1940 0.559288 -0.070917 -0.001871
7.27170 1439 20.9591 0.552513 0.054864 0.001446
7.27309 1441 21.2381 0.559478 -0.032511 -0.000856
7.27517 1444 21.2319 0.558734 0.013502 0.000355
7.27725 1447 21.0707 0.553917 -0.119113 -0.003131
7.27932 1450 21.1616 0.555732 0.014776 0.000388
7.28070 1452 20.9364 0.549438 -0.091071 -0.002390
7.28276 1455 21.1803 0.555265 0.076271 0.002000
7.28482 1458 20.7321 0.542955 0.076912 0.002014
7.28619 1460 21.4114 0.560361 0.034911 0.000914
7.28824 1463 21.4053 0.559629 0.081227 0.002124
7.29029 1466 21.8273 0.570076 -0.042404 -0.001107
7.29166 1468 21.6760 0.565739 0.033443 0.000873
7.29370 1471 21.2612 0.554348 0.003240 0.000084
7.29574 1474 21.2832 0.554354 0.020242 0.000527
7.29777 1477 21.2861 0.553868 -0.095399 -0.002482
7.29912 1479 21.2985 0.553816 0.041370 0.001076
7.30115 1482 21.1308 0.548898 -0.017231 -0.000448
7.30317 1485 21.2850 0.552344 -0.011370 -0.000295
7.30519 1488 20.9389 0.542817 0.102393 0.002654
7.30653 1490 21.0773 0.546036 -0.020646 -0.000535
7.30854 1493 20.4906 0.530304 0.113264 0.002931
7.31055 1496 20.7174 0.535636 0.000289 0.000007
7.31255 1499 20.7186 0.535130 0.012043 0.000311
7.31455 1502 20.5561 0.530404 -0.167654 -0.004326
7.31588 1504 20.5071 0.528787 0.120324 0.003103
7.31788 1507 20.6290 0.531400 -0.040462 -0.001042
7.31986 1510 20.7866 0.534928 0.003233 0.000083
7.32185 1513 19.9333 0.512459 0.068620 0.001764
7.32383 1516 20.1216 0.516787 -0.039853 -0.001024
7.32515 1518 19.9799 0.512810 0.031709 0.000814
7.32712 1521 19.9038 0.510354 -0.088544 -0.002270
7.32909 1524 19.8799 0.509239 -0.021269 -0.000545
7.33106 1527 19.9445 0.510391 -0.040640 -0.001040
7.33302 1530 20.1277 0.514574 0.024453 0.000625
7.33498 1533 20.0016 0.510851 0.025069 0.000640
7.33629 1535 19.1696 0.489283 -0.020969 -0.000535
7.33824 1538 19.2650 0.491238 0.174158 0.004441
7.34019 1541 19.7147 0.502215 0.055018 0.001402
7.34213 1544 19.8804 0.505943 0.067677 0.001722
7.34407 1547 19.8956 0.505839 -0.035022 -0.000890
7.34601 1550 19.9975 0.507937 -0.017802 -0.000452
7.34794 1553 19.6913 0.499676 0.033326 0.000846
7.34923 1555 19.5951 0.496915 0.011458 0.000291
