u x R1 R2 R3
9.5465582572648131 13996.439534167654 73482474.314752460 685429065983.03552 7192813255752558.0
9.5485836662123340 14024.816776092492 73780847.438321039 689607989992.09033 7251342774407120.0
9.5506090751598567 14053.251551782087 74080433.728665888 693812389331.80664 7310348525549716.0
9.5526344841073776 14081.743977883880 74381239.024909317 698042419667.75781 7369834383884629.0
9.5546598930549003 14110.294171281914 74683258.765657097 702298237069.37585 7429804255653530.0
9.5566853020024229 14138.902249097129 74986510.324902579 706579998649.14758 7490262078859147.0
9.5587107109499438 14167.568328687928 75290989.891181037 710887862514.27197 7551211823544861.0
9.5607361198974665 14196.292527650725 75596712.945797950 715221987925.41113 7612657492051503.0
9.5627615288449874 14225.074963820258 75903675.702223778 719582535142.25952 7674603119304719.0
9.5647869377925101 14253.915755270267 76211879.277550563 723969665116.26172 7737052773056877.0
9.5668123467400310 14282.815020313790 76521328.846177623 728383539517.27148 7800010554132881.0
9.5688377556875537 14311.772877503834 76832043.097732440 732824321471.79199 7863480596702699.0
9.5708631646350746 14340.789445633665 77144022.738767311 737292175481.11304 7927467068604102.0
9.5728885735825973 14369.864843737505 77457264.571668863 741787266445.24524 7991974171601176.0
9.5749139825301182 14398.999191090808 77771773.641085565 746309760151.82385 8057006141624358.0
9.5769393914776408 14428.192607210956 78087551.922005370 750859823246.69177 8122567249038106.0
9.5789648004251617 14457.445211857552 78404627.538637325 755437623916.38000 8188661798928010.0
9.5809902093726844 14486.757125033098 78722991.693556219 760043331931.65979 8255294131456436.0
9.5830156183202071 14516.128466983329 79042643.121727794 764677117133.96912 8322468622110751.0
9.5850410272677280 14545.559358197772 79363590.551287115 769339150570.93066 8390189681955988.0
9.5870664362152507 14575.049919410314 79685841.082319945 774029604220.49524 8458461757931136.0
9.5890918451627716 14604.600271599526 80009400.420137644 778748651558.64905 8527289333156186.0
9.5911172541102943 14634.210535989363 80334274.064777508 783496466801.18945 8596676927231166.0
9.5931426630578152 14663.880834049452 80660466.112910748 788273225444.13928 8666629096529438.0
9.5951680720053378 14693.611287495798 80987979.295922235 793079103689.59729 8737150434491471.0
9.5971934809528587 14723.402018291077 81316826.241399065 797914279181.39099 8808245571917517.0
9.5992188899003814 14753.253148645343 81647002.348608255 802778930332.46667 8879919177291072.0
9.6012442988479023 14783.164801016323 81978515.886785641 807673236582.25891 8952175957052444.0
9.6032697077954250 14813.137098110126 82311382.795691714 812597378732.65515 9025020655919858.0
9.6052951167429477 14843.170162881568 82645608.997249141 817551539281.72717 9098458057248436.0
9.6073205256904686 14873.264118534744 82981191.813312382 822535901479.68591 9172492983353234.0
9.6093459346379912 14903.419088523626 83318129.844971254 827550649096.26318 9247130295778800.0
9.6113713435855122 14933.635196552375 83656430.331710994 832595966970.78748 9322374895585006.0
9.6133967525330348 14963.912566576066 83996105.578936040 837672041200.88733 9398231723675670.0
9.6154221614805557 14994.251322800978 84337169.404404402 842779059927.75244 9474705761168854.0
9.6174475704280784 15024.651589685323 84679608.899037004 847917211581.05713 9551802029742916.0
9.6194729793755993 15055.113491939541 85023434.167099655 853086685561.10156 9629525591893356.0
9.6214983883231220 15085.637154527021 85368651.672261253 858287672429.59766 9707881551272078.0
9.6235237972706429 15116.222702664409 85715281.807076544 863520364713.61340 9786875053044854.0
9.6255492062181656 15146.870261822325 86063317.038410246 868784955752.45691 9866511284277362.0
9.6275746151656882 15177.579957725697 86412767.326369390 874081640164.21448 9946795474237530.0
9.6296000241132091 15208.351916354357 86763635.575690001 879410613656.73438 10027732894751334
9.6316254330607318 15239.186263943633 87115932.970690385 884772073120.81653 10109328860538862
9.6336508420082527 15270.083126984688 87469656.807713285 890166216551.12415 10191588729566966
9.6356762509557754 15301.042632225242 87824812.803367853 895593243023.14221 10274517903381670
9.6377016599032963 15332.064906669893 88181410.964810148 901053352721.02649 10358121827450138
9.6397270688508190 15363.150077580834 88539463.198186845 906546747508.92664 10442405991540328
9.6417524777983399 15394.298272478174 88898972.693658054 912073630660.84180 10527375930115182
9.6437778867458626 15425.509619140672 89259936.263525099 917634206323.24597 10613037222686268
9.6458032956933835 15456.784245606043 89622357.486349761 923228679400.89075 10699395494130836
9.6478287046409061 15488.122280171705 89986256.347603455 928857256275.86182 10786456415048174
9.6498541135884270 15519.523851395084 90351639.785167903 934520145766.40613 10874225702211658
9.6518795225359497 15550.989088094362 90718502.134670898 940217556800.46582 10962709118944826
9.6539049314834706 15582.518119348781 91086850.403013155 945949699559.34094 11051912475427696
9.6559303404309933 15614.111074499398 91456696.284813777 951716785578.95764 11141841629088078
9.6579557493785160 15645.768083149425 91828046.817348704 957519028265.02673 11232502485021748
9.6599811583260369 15677.489275164837 92200906.398944274 963356642004.15796 11323900996390558
9.6620065672735596 15709.274780674987 92575275.262656838 969229842408.90161 11416043164797900
9.6640319762210805 15741.124730072954 92951162.785674617 975138846033.73425 11508935040651802
9.6660573851686031 15773.039254016294 93328578.988800243 981083871289.06079 11602582723572206
9.6680827941161240 15805.018483427353 93707520.007236853 987065137529.59668 11696992362808186
9.6701082030636467 15837.062549494030 94087998.286106452 993082865360.25952 11792170157605174
9.6721336120111676 15869.171583670093 94470023.174418241 999137277116.54395 11888122357634732
9.6741590209586903 15901.345717675933 94853602.895730510 1005228596725.7705 11984855263431524
9.6761844299062112 15933.585083498891 95238742.070822895 1011357049155.6694 12082375226805344
9.6782098388537339 15965.889813394022 95625439.039921179 1017522860710.9420 12180688651244350
9.6802352478012565 15998.260039884433 96013709.903727591 1023726258933.0726 12279801992312938
9.6822606567487774 16030.695895761923 96403570.072860733 1029967473859.8698 12379721758129578
9.6842860656963001 16063.197514087598 96795006.744820207 1036246736005.9432 12480454509824730
9.6863114746438210 16095.765028192236 97188026.687648088 1042564276866.9554 12582006861871644
9.6883368835913437 16128.398571677044 97582635.784342617 1048920329329.7299 12684385482519222
9.6903622925388646 16161.098278413989 97978855.675605863 1055315128346.2963 12787597094243802
9.6923877014863873 16193.864282546574 98376684.819823116 1061748910433.4631 12891648474253172
9.6944131104339082 16226.696718490157 98776119.852444917 1068221912831.5759 12996546454888828
9.6964385193814309 16259.595720932733 99177176.331073776 1074734374263.1287 13102297924033224
9.6984639283289518 16292.561424835258 99579868.415993378 1081286535703.2761 13208909825612732
9.7004893372764744 16325.593965432427 99984191.204577655 1087878639059.4821 13316389160071322
9.7025147462239971 16358.693478233035 100390155.42018580 1094510927800.6022 13424742984794906
9.7045401551715180 16391.860099020618 100797771.78254747 1101183646896.0095 13533978414588538
9.7065655641190407 16425.093963854091 101207046.78455190 1107897043144.4238 13644102622157752
9.7085909730665616 16458.395209068105 101617976.49380624 1114651364407.4363 13755122838581340
9.7106163820140843 16491.763971273849 102030570.07676774 1121446859717.2888 13867046353740218
9.7126417909616052 16525.200387359364 102444851.69025527 1128283780245.9888 13979880516796290
9.7146671999091279 16558.704594490337 102860815.74459043 1135162379185.6279 14093632736761274
9.7166926088566488 16592.276730110447 103278463.67808215 1142082910367.5615 14208310482950328
9.7187180178041714 16625.916931942149 103697800.19396693 1149045628973.5952 14323921285405918
9.7207434267516923 16659.625337987003 104118836.85649160 1156050791655.9907 14440472735380420
9.7227688356992150 16693.402086526483 104541599.22457962 1163098658033.8311 14557972485904572
9.7247942446467359 16727.247316122302 104966066.57608962 1170189488270.7939 14676428252328542
