u x resid pred residB
9.894928596 19829.55135 0.3935417435 -0.02864497415 0.4280884129
9.896954005 19869.755 0.3920778513 -0.0273819729 0.4266643501
9.898979414 19910.04016 0.3906140541 -0.02614823356 0.4252404238
9.901004823 19950.407 0.3891484968 -0.02494353662 0.4238147786
9.903030232 19990.85568 0.3876910765 -0.02376765859 0.4223973117
9.905055641 20031.38637 0.386230027 -0.02262037034 0.420976257
9.90708105 20071.99923 0.3847556648 -0.02150143511 0.4195419312
9.909106459 20112.69444 0.3832731464 -0.02041060645 0.4180994905
9.911131868 20153.47215 0.3817846541 -0.01934762581 0.4166511174
9.913157277 20194.33254 0.3802872733 -0.01831222014 0.4151938973
9.915182686 20235.27577 0.3787860271 -0.01730409937 0.4137328535
9.917208095 20276.30201 0.3772729935 -0.01632295381 0.4122600637
9.919233504 20317.41144 0.3757391144 -0.01536845161 0.4107664702
9.921258913 20358.6042 0.3741872775 -0.01444023628 0.4092549605
9.923284322 20399.88049 0.3726139004 -0.01353792427 0.4077219522
9.92530973 20441.24046 0.3710098618 -0.01266110272 0.4061583243
9.927335139 20482.68429 0.3693851009 -0.01180932736 0.4045740156
9.929360548 20524.21214 0.3677463201 -0.01098212073 0.402975729
9.931385957 20565.82419 0.3660859937 -0.0101789705 0.4013559386
9.933411366 20607.52061 0.364398993 -0.009399328268 0.3997095158
9.935436775 20649.30156 0.3626981524 -0.008642608533 0.3980492949
9.937462184 20691.16723 0.3609847903 -0.007908188102 0.3963765944
9.939487593 20733.11777 0.3592578615 -0.007195405854 0.3946903692
9.941513002 20775.15337 0.3575184707 -0.006503562893 0.3929917241
9.943538411 20817.27419 0.3557746424 -0.005831923118 0.3912886834
9.94556382 20859.48041 0.3540366871 -0.005179714209 0.3895915578
9.947589229 20901.77221 0.352309778 -0.004546129049 0.3879055205
9.949614638 20944.14974 0.3505868674 -0.003930327565 0.3862235238
9.951640047 20986.6132 0.3488793473 -0.003331438998 0.3845569598
9.953665456 21029.16275 0.3472032584 -0.002748564596 0.3829218692
9.955690865 21071.79857 0.3455533758 -0.002180780705 0.3813130271
9.957716274 21114.52083 0.3439135207 -0.001627142251 0.3797142548
9.959741683 21157.3297 0.3422864328 -0.001086686598 0.378128292
9.961767092 21200.22538 0.3406627758 -0.0005584377332 0.3765458024
9.9637925 21243.20802 0.3390335468 -4.141078545e-05 0.3749577832
9.965817909 21286.2778 0.3374066154 0.0004653831918 0.373372104
9.967843318 21329.43491 0.3357867281 0.000962932182 0.3717935113
9.969868727 21372.67952 0.334169999 0.001452217964 0.3702181193
9.971894136 21416.0118 0.3325660121 0.001934210706 0.368655512
9.973919545 21459.43194 0.330971638 0.002409863438 0.36710256
9.975944954 21502.94011 0.3293887325 0.002880106448 0.3655611192
9.977970363 21546.53649 0.3278415538 0.003345841657 0.3640554478
9.979995772 21590.22127 0.3263333457 0.003807937006 0.3625887896
9.982021181 21633.99461 0.3248551571 0.004267220923 0.3611521936
9.98404659 21677.8567 0.3234142034 0.004724476902 0.3597528752
9.986071999 21721.80772 0.3220010072 0.005180438257 0.358381357
9.988097408 21765.84785 0.3205956433 0.005635783092 0.3570177139
9.990122817 21809.97726 0.3192020174 0.006091129532 0.3556658517
9.992148226 21854.19615 0.3178277604 0.006547031274 0.3543334012
