om p1 p2 p3
4.180 3.59166e-3 1.05468e-3 4.84976e+4
4.200 3.61197e-3 9.88927e-4 4.63198e+4
4.220 3.63868e-3 9.25725e-4 4.43190e+4
4.240 3.67190e-3 8.65512e-4 4.25042e+4
4.260 3.71173e-3 8.08698e-4 4.08807e+4
4.280 3.75827e-3 7.55664e-4 3.94505e+4
4.300 3.81160e-3 7.06755e-4 3.82119e+4
4.320 3.87176e-3 6.62282e-4 3.71597e+4
4.340 3.93881e-3 6.22518e-4 3.62859e+4
4.360 4.01275e-3 5.87699e-4 3.55797e+4
4.380 4.09359e-3 5.58016e-4 3.50277e+4
4.400 4.18131e-3 5.33623e-4 3.46145e+4
4.420 4.27584e-3 5.14628e-4 3.43232e+4
4.440 4.37711e-3 5.01099e-4 3.41355e+4
4.460 4.48502e-3 4.93058e-4 3.40324e+4
4.480 4.59942e-3 4.90488e-4 3.39943e+4
4.500 4.72016e-3 4.93329e-4 3.40018e+4
4.520 4.84702e-3 5.01480e-4 3.40358e+4
4.540 4.97977e-3 5.14799e-4 3.40780e+4
4.560 5.11814e-3 5.33109e-4 3.41112e+4
4.580 5.26182e-3 5.56195e-4 3.41196e+4
4.600 5.41046e-3 5.83808e-4 3.40890e+4
4.620 5.56367e-3 6.15668e-4 3.40070e+4
4.640 5.72103e-3 6.51462e-4 3.38633e+4
4.660 5.88207e-3 6.90856e-4 3.36497e+4
4.680 6.04629e-3 7.33486e-4 3.33602e+4
4.700 6.21313e-3 7.78970e-4 3.29908e+4
4.720 6.38201e-3 8.26909e-4 3.25401e+4
4.740 6.55231e-3 8.76885e-4 3.20084e+4
4.760 6.72337e-3 9.28472e-4 3.13982e+4
4.780 6.89448e-3 9.81234e-4 3.07137e+4
4.800 7.06491e-3 1.03473e-3 2.99608e+4
4.820 7.23389e-3 1.08851e-3 2.91471e+4
4.840 7.40062e-3 1.14215e-3 2.82810e+4
4.860 7.56429e-3 1.19519e-3 2.73722e+4
4.880 7.72402e-3 1.24721e-3 2.64310e+4
4.900 7.87896e-3 1.29780e-3 2.54683e+4
4.920 8.02822e-3 1.34654e-3 2.44950e+4
4.940 8.17088e-3 1.39305e-3 2.35224e+4
4.960 8.30603e-3 1.43696e-3 2.25610e+4
4.980 8.43276e-3 1.47791e-3 2.16212e+4
5.000 8.55014e-3 1.51560e-3 2.07126e+4
5.020 8.65727e-3 1.54971e-3 1.98441e+4
5.040 8.75324e-3 1.57999e-3 1.90232e+4
5.060 8.83718e-3 1.60619e-3 1.82566e+4
5.080 8.90822e-3 1.62810e-3 1.75498e+4
5.100 8.96554e-3 1.64556e-3 1.69068e+4
5.120 9.00835e-3 1.65841e-3 1.63302e+4
5.140 9.03589e-3 1.66656e-3 1.58217e+4
5.160 9.04746e-3 1.66993e-3 1.53811e+4
5.180 9.04244e-3 1.66849e-3 1.50075e+4
5.200 9.02023e-3 1.66223e-3 1.46983e+4
5.220 8.98033e-3 1.65119e-3 1.44501e+4
5.240 8.92232e-3 1.63543e-3 1.42584e+4
5.260 8.84584e-3 1.61506e-3 1.41180e+4
5.280 8.75063e-3 1.59021e-3 1.40227e+4
5.300 8.63654e-3 1.56103e-3 1.39661e+4
5.320 8.50351e-3 1.52771e-3 1.39411e+4
