om p1 p2
6.460 3.02180e+0 3.23266e+0
6.480 3.08519e+0 3.28913e+0
6.500 3.15373e+0 3.39490e+0
6.520 3.22728e+0 3.54406e+0
6.540 3.30569e+0 3.73030e+0
6.560 3.38876e+0 3.94694e+0
6.580 3.47627e+0 4.18717e+0
6.600 3.56797e+0 4.44415e+0
6.620 3.66355e+0 4.71110e+0
6.640 3.76271e+0 4.98152e+0
6.660 3.86510e+0 5.24918e+0
6.680 3.97033e+0 5.50833e+0
6.700 4.07802e+0 5.75368e+0
6.720 4.18773e+0 5.98054e+0
6.740 4.29901e+0 6.18483e+0
6.760 4.41141e+0 6.36313e+0
6.780 4.52443e+0 6.51269e+0
6.800 4.63758e+0 6.63143e+0
6.820 4.75037e+0 6.71795e+0
6.840 4.86227e+0 6.77147e+0
6.860 4.97278e+0 6.79181e+0
6.880 5.08139e+0 6.77938e+0
6.900 5.18759e+0 6.73508e+0
6.920 5.29088e+0 6.66026e+0
6.940 5.39079e+0 6.55665e+0
6.960 5.48685e+0 6.42633e+0
6.980 5.57861e+0 6.27161e+0
7.000 5.66565e+0 6.09502e+0
7.020 5.74758e+0 5.89922e+0
7.040 5.82403e+0 5.68694e+0
7.060 5.89467e+0 5.46093e+0
7.080 5.95922e+0 5.22394e+0
7.100 6.01741e+0 4.97864e+0
7.120 6.06902e+0 4.72762e+0
7.140 6.11389e+0 4.47332e+0
7.160 6.15189e+0 4.21807e+0
7.180 6.18291e+0 3.96402e+0
7.200 6.20693e+0 3.71315e+0
7.220 6.22393e+0 3.46728e+0
7.240 6.23395e+0 3.22804e+0
7.260 6.23708e+0 2.99693e+0
7.280 6.23343e+0 2.77525e+0
7.300 6.22317e+0 2.56418e+0
7.320 6.20647e+0 2.36475e+0
7.340 6.18357e+0 2.17787e+0
7.360 6.15472e+0 2.00432e+0
7.380 6.12018e+0 1.84478e+0
7.400 6.08026e+0 1.69985e+0
7.420 6.03528e+0 1.57001e+0
7.440 5.98555e+0 1.45568e+0
7.460 5.93141e+0 1.35717e+0
7.480 5.87321e+0 1.27473e+0
7.500 5.81127e+0 1.20849e+0
7.520 5.74594e+0 1.15851e+0
7.540 5.67754e+0 1.12476e+0
7.560 5.60637e+0 1.10707e+0
7.580 5.53274e+0 1.10519e+0
7.600 5.45691e+0 1.11871e+0
7.620 5.37914e+0 1.14712e+0
7.640 5.29966e+0 1.18975e+0
7.660 5.21866e+0 1.24580e+0
7.680 5.13630e+0 1.31432e+0
7.700 5.05271e+0 1.39421e+0
7.720 4.96800e+0 1.48420e+0
7.740 4.88224e+0 1.58293e+0
7.760 4.79545e+0 1.68888e+0
7.780 4.70763e+0 1.80040e+0
7.800 4.61877e+0 1.91578e+0
7.820 4.52879e+0 2.03318e+0
7.840 4.43761e+0 2.15075e+0
7.860 4.34512e+0 2.26659e+0
7.880 4.25120e+0 2.37879e+0
7.900 4.15569e+0 2.48548e+0
7.920 4.05844e+0 2.58486e+0
7.940 3.95929e+0 2.67520e+0
7.960 3.85806e+0 2.75490e+0
7.980 3.75458e+0 2.82254e+0
8.000 3.64871e+0 2.87685e+0
8.020 3.54029e+0 2.91678e+0
8.040 3.42921e+0 2.94152e+0
8.060 3.31535e+0 2.95048e+0
8.080 3.19865e+0 2.94338e+0
8.100 3.07908e+0 2.92017e+0
8.120 2.95662e+0 2.88108e+0
8.140 2.83133e+0 2.82664e+0
8.160 2.70330e+0 2.75761e+0
8.180 2.57268e+0 2.67503e+0
8.200 2.43967e+0 2.58014e+0
8.220 2.30451e+0 2.47442e+0
8.240 2.16755e+0 2.35951e+0
8.260 2.02913e+0 2.23721e+0
8.280 1.88972e+0 2.10942e+0
8.300 1.74980e+0 1.97813e+0
8.320 1.60993e+0 1.84535e+0
8.340 1.47074e+0 1.71309e+0
8.360 1.33289e+0 1.58332e+0
8.380 1.19711e+0 1.45791e+0
8.400 1.06418e+0 1.33861e+0
8.420 9.34918e-1 1.22703e+0
8.440 8.10187e-1 1.12457e+0
8.460 6.90880e-1 1.03241e+0
8.480 5.77920e-1 9.51504e-1
8.500 4.72251e-1 8.82548e-1
8.520 3.74829e-1 8.25964e-1
8.540 2.86618e-1 7.81906e-1
8.560 2.08581e-1 7.50252e-1
8.580 1.41668e-1 7.30619e-1
8.600 8.68144e-2 7.22366e-1
8.620 4.49272e-2 7.24621e-1
8.640 1.68796e-2 7.36299e-1
8.660 3.50154e-3 7.56129e-1
8.680 5.57230e-3 7.82689e-1
8.700 2.38125e-2 8.14440e-1
8.720 5.88766e-2 8.49759e-1
8.740 1.11346e-1 8.86983e-1
8.760 1.81723e-1 9.24445e-1
8.780 2.70425e-1 9.60513e-1
8.800 3.77776e-1 9.93629e-1
8.820 5.04007e-1 1.02234e+0
8.840 6.49250e-1 1.04534e+0
8.860 8.13531e-1 1.06150e+0
8.880 9.96775e-1 1.06987e+0
8.900 1.19880e+0 1.06972e+0
8.920 1.41931e+0 1.06056e+0
8.940 1.65791e+0 1.04215e+0
8.960 1.91410e+0 1.01449e+0
8.980 2.18726e+0 9.77800e-1
9.000 2.47669e+0 9.32580e-1
9.020 2.78158e+0 8.79534e-1
9.040 3.10102e+0 8.19581e-1
9.060 3.43401e+0 7.53830e-1
9.080 3.77949e+0 6.83553e-1
9.100 4.13628e+0 6.10156e-1
9.120 4.50318e+0 5.35150e-1
9.140 4.87887e+0 4.60114e-1
9.160 5.26203e+0 3.86662e-1
9.180 5.65124e+0 3.16410e-1
9.200 6.04508e+0 2.50936e-1
9.220 6.44208e+0 1.91749e-1
9.240 6.84074e+0 1.40259e-1
9.260 7.23958e+0 9.77432e-2
9.280 7.63707e+0 6.53237e-2
9.300 8.03172e+0 4.39416e-2
9.320 8.42204e+0 3.43395e-2
9.340 8.80656e+0 3.70470e-2
9.360 9.18384e+0 5.23707e-2
9.380 9.55249e+0 8.03892e-2
9.400 9.91116e+0 1.20953e-1
9.420 1.02585e+1 1.73687e-1
9.440 1.05934e+1 2.38003e-1
9.460 1.09145e+1 3.13110e-1
9.480 1.12209e+1 3.98030e-1
9.500 1.15114e+1 4.91620e-1
9.520 1.17852e+1 5.92598e-1
9.540 1.20413e+1 6.99562e-1
9.560 1.22790e+1 8.11021e-1
9.580 1.24977e+1 9.25424e-1
9.600 1.26967e+1 1.04119e+0
9.620 1.28756e+1 1.15673e+0
9.640 1.30339e+1 1.27047e+0
9.660 1.31714e+1 1.38092e+0
9.680 1.32878e+1 1.48664e+0
9.700 1.33832e+1 1.58629e+0
9.720 1.34573e+1 1.67866e+0
9.740 1.35103e+1 1.76267e+0
9.760 1.35424e+1 1.83739e+0
9.780 1.35539e+1 1.90206e+0
9.800 1.35449e+1 1.95609e+0
9.820 1.35160e+1 1.99905e+0
9.840 1.34676e+1 2.03070e+0
9.860 1.34002e+1 2.05095e+0
9.880 1.33145e+1 2.05990e+0
9.900 1.32112e+1 2.05777e+0
9.920 1.30908e+1 2.04496e+0
9.940 1.29542e+1 2.02197e+0
9.960 1.28022e+1 1.98944e+0
9.980 1.26357e+1 1.94809e+0
10.000 1.24555e+1 1.89873e+0
10.020 1.22625e+1 1.84223e+0
10.040 1.20576e+1 1.77949e+0
10.060 1.18418e+1 1.71145e+0
10.080 1.16160e+1 1.63906e+0
10.100 1.13811e+1 1.56324e+0
10.120 1.11382e+1 1.48492e+0
10.140 1.08882e+1 1.40496e+0
10.160 1.06320e+1 1.32418e+0
10.180 1.03706e+1 1.24336e+0
10.200 1.01049e+1 1.16317e+0
10.220 9.83579e+0 1.08426e+0
10.240 9.56415e+0 1.00715e+0
10.260 9.29086e+0 9.32326e-1
10.280 9.01675e+0 8.60161e-1
10.300 8.74262e+0 7.90967e-1
10.320 8.46927e+0 7.24976e-1
10.340 8.19743e+0 6.62351e-1
10.360 7.92782e+0 6.03192e-1
10.380 7.66112e+0 5.47541e-1
10.400 7.39796e+0 4.95389e-1
10.420 7.13897e+0 4.46685e-1
10.440 6.88470e+0 4.01344e-1
