re im
-0.856042 -9.417345
-0.856042 10.672991
-0.856042 -10.672991
-0.856042 11.928637
-0.856042 -11.928637
-0.856042 13.184283
-0.856042 -13.184283
-0.856042 14.439929
-0.856042 -14.439929
-0.856042 15.695575
-0.856042 -15.695575
-0.856042 16.951221
-0.856042 -16.951221
-0.856042 18.206867
-0.856042 -18.206867
-0.856042 19.462513
-0.856042 -19.462513
-0.856042 20.718159
-0.856042 -20.718159
-0.856042 21.973806
-0.856042 -21.973806
-0.857809 0.621329
-0.857809 -0.621329
-0.857809 1.863987
-0.857809 -1.863987
-0.857809 3.106645
-0.857809 -3.106645
-0.857809 4.349304
-0.857809 -4.349304
-0.857809 5.591962
-0.857809 -5.591962
-0.857809 6.834620
-0.857809 -6.834620
-0.857809 8.077278
-0.857809 -8.077278
-0.857809 9.319936
-0.857809 -9.319936
-0.857809 10.562595
-0.857809 -10.562595
-0.857809 11.805253
-0.857809 -11.805253
-0.857809 13.047911
-0.857809 -13.047911
-0.857809 14.290569
-0.857809 -14.290569
-0.857809 15.533227
-0.857809 -15.533227
-0.857809 16.775886
-0.857809 -16.775886
-0.857809 18.018544
-0.857809 -18.018544
-0.857809 19.261202
-0.857809 -19.261202
-0.857809 20.503860
-0.857809 -20.503860
-0.857809 21.746518
-0.857809 -21.746518
-0.860955 0.609628
-0.860955 -0.609628
-0.860955 1.828885
-0.860955 -1.828885
-0.860955 3.048142
-0.860955 -3.048142
-0.860955 4.267398
-0.860955 -4.267398
-0.860955 5.486655
-0.860955 -5.486655
-0.860955 6.705912
-0.860955 -6.705912
-0.860955 7.925169
-0.860955 -7.925169
-0.860955 9.144425
-0.860955 -9.144425
-0.860955 10.363682
-0.860955 -10.363682
-0.860955 11.582939
-0.860955 -11.582939
-0.860955 12.802195
-0.860955 -12.802195
-0.860955 14.021452
-0.860955 -14.021452
-0.860955 15.240709
-0.860955 -15.240709
-0.860955 16.459965
-0.860955 -16.459965
-0.860955 17.679222
-0.860955 -17.679222
-0.860955 18.898479
-0.860955 -18.898479
-0.860955 20.117736
-0.860955 -20.117736
-0.860955 21.336992
-0.860955 -21.336992
-0.862365 0.604327
-0.862365 -0.604327
-0.862365 1.812981
-0.862365 -1.812981
-0.862365 3.021636
-0.862365 -3.021636
-0.862365 4.230290
-0.862365 -4.230290
-0.862365 5.438944
-0.862365 -5.438944
-0.862365 6.647598
-0.862365 -6.647598
-0.862365 7.856252
-0.862365 -7.856252
-0.862365 9.064907
-0.862365 -9.064907
-0.862365 10.273561
-0.862365 -10.273561
-0.862365 11.482215
-0.862365 -11.482215
-0.862365 12.690869
-0.862365 -12.690869
-0.862365 13.899523
-0.862365 -13.899523
-0.862365 15.108178
-0.862365 -15.108178
-0.862365 16.316832
-0.862365 -16.316832
-0.862365 17.525486
-0.862365 -17.525486
-0.862365 18.734140
-0.862365 -18.734140
-0.862365 19.942794
-0.862365 -19.942794
-0.862365 21.151449
-0.862365 -21.151449
-0.864311 0.596956
-0.864311 -0.596956
-0.864311 1.790867
-0.864311 -1.790867
-0.864311 2.984778
-0.864311 -2.984778
-0.864311 4.178690
-0.864311 -4.178690
-0.864311 5.372601
-0.864311 -5.372601
-0.864311 6.566512
-0.864311 -6.566512
-0.864311 7.760423
-0.864311 -7.760423
-0.864311 8.954335
-0.864311 -8.954335
-0.864311 10.148246
-0.864311 -10.148246
-0.864311 11.342157
-0.864311 -11.342157
-0.864311 12.536069
-0.864311 -12.536069
-0.864311 13.729980
-0.864311 -13.729980
-0.864311 14.923891
-0.864311 -14.923891
-0.864311 16.117803
-0.864311 -16.117803
-0.864311 17.311714
-0.864311 -17.311714
-0.864311 18.505625
-0.864311 -18.505625
-0.864311 19.699537
-0.864311 -19.699537
-0.864311 20.893448
-0.864311 -20.893448
-0.864919 0.594638
-0.864919 -0.594638
-0.864919 1.783913
-0.864919 -1.783913
-0.864919 2.973189
-0.864919 -2.973189
-0.864919 4.162465
-0.864919 -4.162465
-0.864919 5.351740
-0.864919 -5.351740
-0.864919 6.541016
-0.864919 -6.541016
-0.864919 7.730291
-0.864919 -7.730291
-0.864919 8.919567
-0.864919 -8.919567
-0.864919 10.108843
-0.864919 -10.108843
-0.864919 11.298118
-0.864919 -11.298118
-0.864919 12.487394
-0.864919 -12.487394
-0.864919 13.676669
-0.864919 -13.676669
-0.864919 14.865945
-0.864919 -14.865945
-0.864919 16.055221
-0.864919 -16.055221
-0.864919 17.244496
-0.864919 -17.244496
-0.864919 18.433772
-0.864919 -18.433772
-0.864919 19.623047
-0.864919 -19.623047
-0.864919 20.812323
-0.864919 -20.812323
