u H off
7.69721 2202 -0.283791
7.69946 2207 0.650014
7.70171 2212 -0.538591
7.70396 2217 0.348893
7.70621 2222 -0.429945
7.70846 2227 0.678828
7.71071 2232 -0.435068
7.71296 2237 0.831388
7.71521 2242 -0.353835
7.71746 2247 0.943777
7.71970 2252 -0.098595
7.72195 2257 0.749908
7.72420 2262 -0.480729
7.72645 2267 0.360971
7.72870 2272 -0.504695
7.73095 2277 0.322854
7.73320 2282 -0.702139
7.73545 2288 0.191252
7.73770 2293 -1.025510
7.73995 2298 0.175057
7.74220 2303 -1.070985
7.74445 2308 0.230647
7.74669 2313 -1.015393
7.74894 2319 -0.082189
7.75119 2324 0.194809
7.75344 2329 -0.014436
7.75569 2334 0.138273
7.75794 2340 -0.126764
7.76019 2345 -0.247094
7.76244 2350 0.046105
7.76469 2355 0.091772
7.76694 2361 0.019300
7.76919 2366 1.097789
7.77144 2371 -0.148252
7.77368 2377 0.749749
7.77593 2382 -0.232406
7.77818 2387 0.607843
7.78043 2393 -0.719996
7.78268 2398 0.160129
7.78493 2404 -0.102617
7.78718 2409 -0.033201
7.78943 2414 -0.043564
7.79168 2420 -0.481557
7.79393 2425 -0.565227
7.79618 2431 -0.797142
7.79843 2436 0.343871
7.80067 2442 -0.874399
7.80292 2447 0.217237
7.80517 2453 -1.273037
7.80742 2458 0.061598
7.80967 2464 0.153059
7.81192 2469 -0.039678
7.81417 2475 -0.179388
7.81642 2481 -0.249583
7.81867 2486 0.871072
7.82092 2492 -0.385273
7.82317 2497 0.767164
7.82542 2503 -0.701873
7.82766 2509 0.271952
7.82991 2514 0.177437
7.83216 2520 0.024009
7.83441 2526 0.842665
7.83666 2531 -0.328615
7.83891 2537 0.424269
7.84116 2543 -0.767568
7.84341 2548 0.098557
7.84566 2554 -0.314781
7.84791 2560 -0.442608
7.85016 2566 0.395492
7.85241 2571 -0.843687
7.85465 2577 0.256569
7.85690 2583 -1.200885
7.85915 2589 -0.063934
7.86140 2595 0.016784
7.86365 2601 -0.436974
7.86590 2606 0.555566
7.86815 2612 -0.273230
7.87040 2618 0.561440
7.87265 2624 0.168365
7.87490 2630 0.163032
7.87715 2636 1.052991
7.87940 2642 -0.292584
7.88164 2648 0.560211
7.88389 2654 0.167674
7.88614 2660 -0.046674
7.88839 2666 0.744131
7.89064 2672 -0.607130
7.89289 2678 0.127808
7.89514 2684 -0.260970
7.89739 2690 -0.415555
7.89964 2696 0.666090
7.90189 2702 -0.787291
7.90414 2708 0.123403
7.90639 2714 0.038535
7.90863 2720 0.058323
7.91088 2726 0.840152
7.91313 2732 -0.555011
7.91538 2739 -0.216510
7.91763 2745 -0.298266
7.91988 2751 -0.120795
7.92213 2757 0.894721
7.92438 2763 -0.354823
7.92663 2770 0.359533
7.92888 2776 1.086824
7.93113 2782 -0.127598
7.93338 2788 0.580154
7.93562 2795 -0.007349
7.93787 2801 -0.088743
7.94012 2807 0.604743
7.94237 2814 0.137366
7.94462 2820 -0.118730
7.94687 2826 0.779683
7.94912 2833 -0.689330
7.95137 2839 0.142382
7.95362 2845 -0.086964
7.95587 2852 -0.329218
7.95812 2858 0.428806
7.96037 2865 -0.106841
7.96261 2871 -0.064345
7.96486 2878 0.650328
7.96711 2884 0.279843
7.96936 2891 -0.080622
7.97161 2897 0.745668
7.97386 2904 0.297529
7.97611 2910 -0.083654
7.97836 2917 0.435430
7.98061 2923 -0.920600
7.98286 2930 -0.200058
7.98511 2936 0.607925
7.98736 2943 -1.109383
7.98960 2950 -0.333069
7.99185 2956 0.518760
7.99410 2963 -1.197643
7.99635 2970 -0.386041
7.99860 2976 0.494151
8.00085 2983 -0.859123
8.00310 2990 -0.341598
8.00535 2996 0.290102
8.00760 3003 -0.843639
8.00985 3010 -0.255780
