kind re im order
Fp -0.805652 3.956375 1
Fp -0.805652 -3.956375 1
Fp -0.805652 5.538925 1
Fp -0.805652 -5.538925 1
Fp -0.805652 7.121475 1
Fp -0.805652 -7.121475 1
Fp -0.805652 8.704025 1
Fp -0.805652 -8.704025 1
Fp -0.805652 10.286575 1
Fp -0.805652 -10.286575 1
Fp -0.805652 11.869125 1
Fp -0.805652 -11.869125 1
Fp -0.805652 13.451675 1
Fp -0.805652 -13.451675 1
Fp -0.805652 15.034225 1
Fp -0.805652 -15.034225 1
Fp -0.805652 16.616775 1
Fp -0.805652 -16.616775 1
Fp -0.805652 18.199325 1
Fp -0.805652 -18.199325 1
Fp -0.805652 19.781874 1
Fp -0.805652 -19.781874 1
Fp -0.805652 21.364424 1
Fp -0.805652 -21.364424 1
Fp -0.814889 0.764215 1
Fp -0.814889 -0.764215 1
Fp -0.814889 2.292646 1
Fp -0.814889 -2.292646 1
Fp -0.814889 3.821076 1
Fp -0.814889 -3.821076 1
Fp -0.814889 5.349507 1
Fp -0.814889 -5.349507 1
Fp -0.814889 6.877938 1
Fp -0.814889 -6.877938 1
Fp -0.814889 8.406368 1
Fp -0.814889 -8.406368 1
Fp -0.814889 9.934799 1
Fp -0.814889 -9.934799 1
Fp -0.814889 11.463229 1
Fp -0.814889 -11.463229 1
Fp -0.814889 12.991660 1
Fp -0.814889 -12.991660 1
Fp -0.814889 14.520090 1
Fp -0.814889 -14.520090 1
Fp -0.814889 16.048521 1
Fp -0.814889 -16.048521 1
Fp -0.814889 17.576952 1
Fp -0.814889 -17.576952 1
Fp -0.814889 19.105382 1
Fp -0.814889 -19.105382 1
Fp -0.814889 20.633813 1
Fp -0.814889 -20.633813 1
Fp -0.825310 0.732228 1
Fp -0.825310 -0.732228 1
Fp -0.825310 2.196683 1
Fp -0.825310 -2.196683 1
Fp -0.825310 3.661138 1
Fp -0.825310 -3.661138 1
Fp -0.825310 5.125593 1
Fp -0.825310 -5.125593 1
Fp -0.825310 6.590048 1
Fp -0.825310 -6.590048 1
Fp -0.825310 8.054503 1
Fp -0.825310 -8.054503 1
Fp -0.825310 9.518958 1
Fp -0.825310 -9.518958 1
Fp -0.825310 10.983413 1
Fp -0.825310 -10.983413 1
Fp -0.825310 12.447869 1
Fp -0.825310 -12.447869 1
Fp -0.825310 13.912324 1
Fp -0.825310 -13.912324 1
Fp -0.825310 15.376779 1
Fp -0.825310 -15.376779 1
Fp -0.825310 16.841234 1
Fp -0.825310 -16.841234 1
Fp -0.825310 18.305689 1
Fp -0.825310 -18.305689 1
Fp -0.825310 19.770144 1
Fp -0.825310 -19.770144 1
Fp -0.825310 21.234599 1
Fp -0.825310 -21.234599 1
Fp -0.835333 0.699899 1
Fp -0.835333 -0.699899 1
Fp -0.835333 2.099697 1
Fp -0.835333 -2.099697 1
Fp -0.835333 3.499496 1
Fp -0.835333 -3.499496 1
Fp -0.835333 4.899294 1
Fp -0.835333 -4.899294 1
Fp -0.835333 6.299092 1
Fp -0.835333 -6.299092 1
Fp -0.835333 7.698890 1
Fp -0.835333 -7.698890 1
Fp -0.835333 9.098689 1
Fp -0.835333 -9.098689 1
Fp -0.835333 10.498487 1
Fp -0.835333 -10.498487 1
Fp -0.835333 11.898285 1
Fp -0.835333 -11.898285 1
Fp -0.835333 13.298083 1
Fp -0.835333 -13.298083 1
Fp -0.835333 14.697882 1
Fp -0.835333 -14.697882 1
Fp -0.835333 16.097680 1
Fp -0.835333 -16.097680 1
Fp -0.835333 17.497478 1
Fp -0.835333 -17.497478 1
Fp -0.835333 18.897276 1
Fp -0.835333 -18.897276 1
Fp -0.835333 20.297075 1
Fp -0.835333 -20.297075 1
Fp -0.835333 21.696873 1
Fp -0.835333 -21.696873 1
Fp -0.839278 0.686730 1
Fp -0.839278 -0.686730 1
Fp -0.839278 2.060191 1
Fp -0.839278 -2.060191 1
Fp -0.839278 3.433652 1
Fp -0.839278 -3.433652 1
Fp -0.839278 4.807112 1
Fp -0.839278 -4.807112 1
Fp -0.839278 6.180573 1
Fp -0.839278 -6.180573 1
Fp -0.839278 7.554033 1
Fp -0.839278 -7.554033 1
Fp -0.839278 8.927494 1
Fp -0.839278 -8.927494 1
Fp -0.839278 10.300955 1
Fp -0.839278 -10.300955 1
Fp -0.839278 11.674415 1
Fp -0.839278 -11.674415 1
Fp -0.839278 13.047876 1
Fp -0.839278 -13.047876 1
Fp -0.839278 14.421336 1
Fp -0.839278 -14.421336 1
Fp -0.839278 15.794797 1
Fp -0.839278 -15.794797 1
Fp -0.839278 17.168258 1
Fp -0.839278 -17.168258 1
Fp -0.839278 18.541718 1
Fp -0.839278 -18.541718 1
Fp -0.839278 19.915179 1
Fp -0.839278 -19.915179 1
Fp -0.839278 21.288639 1
Fp -0.839278 -21.288639 1
Fp -0.841054 0.680717 1
Fp -0.841054 -0.680717 1
Fp -0.841054 2.042152 1
Fp -0.841054 -2.042152 1
Fp -0.841054 3.403587 1
Fp -0.841054 -3.403587 1
Fp -0.841054 4.765022 1
Fp -0.841054 -4.765022 1
Fp -0.841054 6.126456 1
Fp -0.841054 -6.126456 1
Fp -0.841054 7.487891 1
Fp -0.841054 -7.487891 1
Fp -0.841054 8.849326 1
Fp -0.841054 -8.849326 1
Fp -0.841054 10.210760 1
Fp -0.841054 -10.210760 1
Fp -0.841054 11.572195 1
Fp -0.841054 -11.572195 1
Fp -0.841054 12.933630 1
Fp -0.841054 -12.933630 1
Fp -0.841054 14.295065 1
Fp -0.841054 -14.295065 1
Fp -0.841054 15.656499 1
Fp -0.841054 -15.656499 1
Fp -0.841054 17.017934 1
Fp -0.841054 -17.017934 1
Fp -0.841054 18.379369 1
Fp -0.841054 -18.379369 1
Fp -0.841054 19.740803 1
Fp -0.841054 -19.740803 1
Fp -0.841054 21.102238 1
Fp -0.841054 -21.102238 1
Fp -0.844280 0.669657 1
Fp -0.844280 -0.669657 1
Fp -0.844280 2.008970 1
Fp -0.844280 -2.008970 1
Fp -0.844280 3.348284 1
Fp -0.844280 -3.348284 1
Fp -0.844280 4.687597 1
Fp -0.844280 -4.687597 1
Fp -0.844280 6.026911 1
Fp -0.844280 -6.026911 1
Fp -0.844280 7.366224 1
Fp -0.844280 -7.366224 1
Fp -0.844280 8.705537 1
Fp -0.844280 -8.705537 1
Fp -0.844280 10.044851 1
Fp -0.844280 -10.044851 1
Fp -0.844280 11.384164 1
Fp -0.844280 -11.384164 1
Fp -0.844280 12.723478 1
Fp -0.844280 -12.723478 1
Fp -0.844280 14.062791 1
Fp -0.844280 -14.062791 1
Fp -0.844280 15.402105 1
Fp -0.844280 -15.402105 1
Fp -0.844280 16.741418 1
Fp -0.844280 -16.741418 1
Fp -0.844280 18.080732 1
Fp -0.844280 -18.080732 1
Fp -0.844280 19.420045 1
Fp -0.844280 -19.420045 1
Fp -0.844280 20.759358 1
Fp -0.844280 -20.759358 1
Fp -0.845753 0.664551 1
Fp -0.845753 -0.664551 1
Fp -0.845753 1.993654 1
Fp -0.845753 -1.993654 1
Fp -0.845753 3.322757 1
Fp -0.845753 -3.322757 1
Fp -0.845753 4.651860 1
Fp -0.845753 -4.651860 1
Fp -0.845753 5.980963 1
Fp -0.845753 -5.980963 1
Fp -0.845753 7.310066 1
Fp -0.845753 -7.310066 1
Fp -0.845753 8.639169 1
Fp -0.845753 -8.639169 1
Fp -0.845753 9.968272 1
Fp -0.845753 -9.968272 1
Fp -0.845753 11.297375 1
Fp -0.845753 -11.297375 1
Fp -0.845753 12.626478 1
Fp -0.845753 -12.626478 1
Fp -0.845753 13.955581 1
Fp -0.845753 -13.955581 1
Fp -0.845753 15.284684 1
Fp -0.845753 -15.284684 1
Fp -0.845753 16.613787 1
Fp -0.845753 -16.613787 1
Fp -0.845753 17.942890 1
Fp -0.845753 -17.942890 1
Fp -0.845753 19.271993 1
Fp -0.845753 -19.271993 1
Fp -0.845753 20.601096 1
Fp -0.845753 -20.601096 1
Fp -0.845753 21.930199 1
Fp -0.845753 -21.930199 1
Fp -0.853093 0.638538 1
Fp -0.853093 -0.638538 1
Fp -0.853093 1.915613 1
Fp -0.853093 -1.915613 1
Fp -0.853093 3.192688 1
Fp -0.853093 -3.192688 1
Fp -0.853093 4.469763 1
Fp -0.853093 -4.469763 1
Fp -0.853093 5.746838 1
Fp -0.853093 -5.746838 1
Fp -0.853093 7.023913 1
Fp -0.853093 -7.023913 1
Fp -0.853093 8.300988 1
Fp -0.853093 -8.300988 1
Fp -0.853093 9.578064 1
Fp -0.853093 -9.578064 1
Fp -0.853093 10.855139 1
Fp -0.853093 -10.855139 1
Fp -0.853093 12.132214 1
Fp -0.853093 -12.132214 1
Fp -0.853093 13.409289 1
Fp -0.853093 -13.409289 1
Fp -0.853093 14.686364 1
Fp -0.853093 -14.686364 1
Fp -0.853093 15.963439 1
Fp -0.853093 -15.963439 1
Fp -0.853093 17.240514 1
Fp -0.853093 -17.240514 1
Fp -0.853093 18.517589 1
Fp -0.853093 -18.517589 1
Fp -0.853093 19.794665 1
Fp -0.853093 -19.794665 1
Fp -0.853093 21.071740 1
Fp -0.853093 -21.071740 1
Fp -0.856042 0.627823 1
Fp -0.856042 -0.627823 1
Fp -0.856042 1.883469 1
Fp -0.856042 -1.883469 1
Fp -0.856042 3.139115 1
Fp -0.856042 -3.139115 1
Fp -0.856042 4.394761 1
Fp -0.856042 -4.394761 1
Fp -0.856042 5.650407 1
Fp -0.856042 -5.650407 1
Fp -0.856042 6.906053 1
Fp -0.856042 -6.906053 1
Fp -0.856042 8.161699 1
Fp -0.856042 -8.161699 1
Fp -0.856042 9.417345 1
Fp -0.856042 -9.417345 1
Fp -0.856042 10.672991 1
Fp -0.856042 -10.672991 1
Fp -0.856042 11.928637 1
Fp -0.856042 -11.928637 1
Fp -0.856042 13.184283 1
Fp -0.856042 -13.184283 1
Fp -0.856042 14.439929 1
Fp -0.856042 -14.439929 1
Fp -0.856042 15.695575 1
Fp -0.856042 -15.695575 1
Fp -0.856042 16.951221 1
Fp -0.856042 -16.951221 1
Fp -0.856042 18.206867 1
Fp -0.856042 -18.206867 1
Fp -0.856042 19.462513 1
Fp -0.856042 -19.462513 1
Fp -0.856042 20.718159 1
Fp -0.856042 -20.718159 1
Fp -0.856042 21.973806 1
Fp -0.856042 -21.973806 1
Fp -0.857809 0.621329 1
Fp -0.857809 -0.621329 1
Fp -0.857809 1.863987 1
Fp -0.857809 -1.863987 1
Fp -0.857809 3.106645 1
Fp -0.857809 -3.106645 1
Fp -0.857809 4.349304 1
Fp -0.857809 -4.349304 1
Fp -0.857809 5.591962 1
Fp -0.857809 -5.591962 1
Fp -0.857809 6.834620 1
Fp -0.857809 -6.834620 1
Fp -0.857809 8.077278 1
Fp -0.857809 -8.077278 1
Fp -0.857809 9.319936 1
Fp -0.857809 -9.319936 1
Fp -0.857809 10.562595 1
Fp -0.857809 -10.562595 1
Fp -0.857809 11.805253 1
Fp -0.857809 -11.805253 1
Fp -0.857809 13.047911 1
Fp -0.857809 -13.047911 1
Fp -0.857809 14.290569 1
Fp -0.857809 -14.290569 1
Fp -0.857809 15.533227 1
Fp -0.857809 -15.533227 1
Fp -0.857809 16.775886 1
Fp -0.857809 -16.775886 1
Fp -0.857809 18.018544 1
Fp -0.857809 -18.018544 1
Fp -0.857809 19.261202 1
Fp -0.857809 -19.261202 1
Fp -0.857809 20.503860 1
Fp -0.857809 -20.503860 1
Fp -0.857809 21.746518 1
Fp -0.857809 -21.746518 1
Fp -0.860955 0.609628 1
Fp -0.860955 -0.609628 1
Fp -0.860955 1.828885 1
Fp -0.860955 -1.828885 1
Fp -0.860955 3.048142 1
Fp -0.860955 -3.048142 1
Fp -0.860955 4.267398 1
Fp -0.860955 -4.267398 1
Fp -0.860955 5.486655 1
Fp -0.860955 -5.486655 1
Fp -0.860955 6.705912 1
Fp -0.860955 -6.705912 1
Fp -0.860955 7.925169 1
Fp -0.860955 -7.925169 1
Fp -0.860955 9.144425 1
Fp -0.860955 -9.144425 1
Fp -0.860955 10.363682 1
Fp -0.860955 -10.363682 1
Fp -0.860955 11.582939 1
Fp -0.860955 -11.582939 1
Fp -0.860955 12.802195 1
Fp -0.860955 -12.802195 1
Fp -0.860955 14.021452 1
Fp -0.860955 -14.021452 1
Fp -0.860955 15.240709 1
Fp -0.860955 -15.240709 1
Fp -0.860955 16.459965 1
Fp -0.860955 -16.459965 1
Fp -0.860955 17.679222 1
Fp -0.860955 -17.679222 1
Fp -0.860955 18.898479 1
Fp -0.860955 -18.898479 1
Fp -0.860955 20.117736 1
Fp -0.860955 -20.117736 1
Fp -0.860955 21.336992 1
Fp -0.860955 -21.336992 1
Fp -0.862365 0.604327 1
Fp -0.862365 -0.604327 1
Fp -0.862365 1.812981 1
Fp -0.862365 -1.812981 1
Fp -0.862365 3.021636 1
Fp -0.862365 -3.021636 1
Fp -0.862365 4.230290 1
Fp -0.862365 -4.230290 1
Fp -0.862365 5.438944 1
Fp -0.862365 -5.438944 1
Fp -0.862365 6.647598 1
Fp -0.862365 -6.647598 1
Fp -0.862365 7.856252 1
Fp -0.862365 -7.856252 1
Fp -0.862365 9.064907 1
Fp -0.862365 -9.064907 1
Fp -0.862365 10.273561 1
Fp -0.862365 -10.273561 1
