u x resid pred residB
9.767327833 17454.06466 0.08259588676 0.1745894078 0.1177559498
9.769353241 17489.45211 0.08857788539 0.1858103411 0.1237782107
9.77137865 17524.9113 0.09353667357 0.1966372312 0.1287773023
9.773404059 17560.44238 0.09791081228 0.2070478019 0.1331917857
9.775429468 17596.0455 0.1034154739 0.2170218655 0.1387368333
9.777454877 17631.72081 0.1081126093 0.2265413896 0.1434743958
9.779480286 17667.46844 0.1098941241 0.2355905497 0.1452963791
9.781505695 17703.28855 0.1084146445 0.2441557663 0.1438574095
9.783531104 17739.18129 0.1110461688 0.2522257273 0.146529485
9.785556513 17775.14679 0.1156002198 0.2597913945 0.1511241286
9.787581922 17811.18522 0.1196532636 0.2668459961 0.1552178066
9.789607331 17847.29671 0.1243557142 0.2733850045 0.1599609327
9.79163274 17883.48142 0.1310690935 0.2794060996 0.1667150291
9.793658149 17919.73949 0.1387875879 0.2849091193 0.1744742822
9.795683558 17956.07107 0.144737969 0.2898959962 0.1804654636
9.797708967 17992.47631 0.1495723401 0.2943706828 0.1853406765
9.799734376 18028.95536 0.1530211048 0.2983390653 0.1888303246
9.801759785 18065.50838 0.1554534791 0.3018088664 0.1913036241
9.803785194 18102.1355 0.158489328 0.3047895389 0.1943804398
9.805810603 18138.83688 0.162773677 0.3072921509 0.1987057974
9.807836011 18175.61267 0.166781963 0.3093292633 0.2027551337
9.80986142 18212.46303 0.168865279 0.3109148007 0.2048795419
9.811886829 18249.38809 0.1733853584 0.3120639177 0.2094407552
9.813912238 18286.38803 0.1785464535 0.3127928605 0.2146430262
9.815937647 18323.46297 0.1831529855 0.3131188257 0.219290776
9.817963056 18360.61309 0.1867783497 0.3130598179 0.2229573999
9.819988465 18397.83852 0.1922054714 0.3126345054 0.2284258232
9.822013874 18435.13943 0.1976738992 0.3118620782 0.2339355947
9.824039283 18472.51597 0.2004504061 0.310762106 0.2367534872
9.826064692 18509.96828 0.2026554358 0.3093543996 0.2389999447
9.828090101 18547.49653 0.2032457677 0.3076588767 0.2396317464
