u x R1 R2 R3
8.55757 5206 12631788.065269025 43825793792.227089 171061586149302.34
8.56274 5233 12763200.206378562 44511455435.281593 174639196843351.31
8.56770 5259 12890386.853272980 45178445920.514420 178137060007298.56
8.57263 5285 13018206.461749274 45852066657.086586 181687206794790.88
8.57772 5312 13151606.114895167 46558648503.973640 185429792134928.31
8.58261 5338 13280707.561777653 47245885928.671158 189088125341379.28
8.58765 5365 13415443.963160288 47966678938.006767 192944185107493.56
8.59267 5392 13550860.637966916 48694766126.682457 196858924273154.38
8.59767 5419 13686956.280406965 49430184077.523064 200832935149660.06
8.60264 5446 13823733.297118036 50172969646.944786 204866813020432.13
8.60758 5473 13961188.476126425 50923159459.745995 208961156146638.09
8.61269 5501 14104456.024053518 51708994129.063408 213271650436607.63
8.61758 5528 14243295.637906395 52474380350.541054 217491026495674.53
8.62263 5556 14387996.794687197 53276053140.985054 221932487979551.09
8.62766 5584 14533432.085652739 54085849750.088188 226441630890086.41
8.63266 5612 14679597.352012148 54903811169.937714 231019139351988.91
8.63764 5640 14826494.403168701 55729978356.513367 235665700928235.09
8.64259 5668 14974121.372157296 56564392166.487427 240382006620791.28
8.64769 5697 15127791.478766706 57437343884.822487 245341017520579.09
8.65260 5725 15276909.704402981 58288672098.683098 250201451737642.56
8.65765 5754 15432121.644050544 59179230252.024643 255311240223139.13
8.66268 5783 15588120.635295948 60078813444.531242 260498899526367.94
8.66768 5812 15744901.384329461 60987467342.701302 265765216814238.50
8.67266 5841 15902470.864445526 61905237360.243805 271110983210593.16
8.67761 5870 16060819.976931946 62832169026.576157 276536993802737.53
8.68271 5900 16225459.780089108 63800753208.524719 282235401215277.06
8.68761 5929 16385408.038558213 64746464567.117340 287827137930356.69
8.69266 5959 16551697.796912607 65734573588.021355 293698709817055.50
8.69768 5989 16718825.486526338 66732685062.313416 299659661248675.50
8.70268 6019 16886794.056688610 67740849489.529648 305710894717477.00
8.70765 6049 17055601.329197817 68759117142.424866 311853317252995.75
8.71260 6079 17225248.456820004 69787538433.448334 318087840412775.56
8.71768 6110 17401430.926500961 70860960831.011459 324627910973447.63
8.72274 6141 17578511.784232311 71945334428.956085 331268318615489.25
8.72762 6171 17750733.552669857 73005207625.157211 337791015507962.75
8.73263 6202 17929578.979608078 74111292730.064835 344631846839330.38
8.73761 6233 18109321.666700643 75228493956.302521 351576060553697.81
