logY Y sqrtY_P sqrtY_T sqrtY_L1 sqrtY_L2 sqrtY_R
9.26227 10533 -0.2788130 -0.0211964 -0.0126443 -0.0102303 -0.2347421
9.28536 10779 -0.3508006 -0.0073213 -0.0082371 -0.0228821 -0.3123602
9.30837 11030 -0.4510926 0.0048625 -0.0022813 -0.0235627 -0.4301112
9.33150 11288 -0.4763124 0.0106896 0.0068809 0.0076806 -0.5015635
9.35453 11551 -0.4634197 0.0103230 0.0147374 0.0478794 -0.5363595
9.37763 11821 -0.3695994 0.0106226 0.0245656 0.0962714 -0.5010589
9.40071 12097 -0.1173582 0.0089959 0.0313715 0.1343678 -0.2920934
9.42384 12380 0.0072129 0.0049283 0.0372066 0.1737120 -0.2086340
9.44691 12669 0.0980383 0.0052593 0.0417478 0.1955908 -0.1445595
9.47001 12965 0.0441375 0.0055958 0.0399877 0.1859487 -0.1873947
9.49311 13268 -0.0485443 -0.0005291 0.0332342 0.1674935 -0.2487429
9.51613 13577 -0.1184780 -0.0075348 0.0215820 0.1267467 -0.2592720
9.53921 13894 -0.1059855 -0.0094758 0.0125590 0.0864844 -0.1955530
9.56233 14219 -0.0070777 -0.0130272 0.0154328 0.1097321 -0.1192154
9.58541 14551 -0.0582045 -0.0072336 0.0169272 0.1027202 -0.1706183
9.60851 14891 -0.1681281 0.0019352 0.0116975 0.0536494 -0.2354103
9.63161 15239 -0.0653877 0.0034270 0.0117819 0.0503421 -0.1309387
9.65464 15594 -0.0009198 0.0031242 0.0103395 0.0438870 -0.0582705
9.67778 15959 0.0438615 0.0044016 0.0039305 0.0086486 0.0268809
9.70082 16331 0.1426615 0.0089656 0.0039750 -0.0025390 0.1322600
9.72394 16713 0.3210203 0.0083705 0.0109547 0.0338470 0.2678481
9.74701 17103 0.5175282 0.0053796 0.0100274 0.0366882 0.4654330
9.77007 17502 0.6551890 0.0055380 0.0067365 0.0198374 0.6230770
9.79317 17911 0.7468090 -0.0034484 0.0026354 0.0217980 0.7258241
9.81624 18329 0.7480084 -0.0104141 -0.0028337 0.0118667 0.7493895
9.83932 18757 0.6900490 -0.0179317 -0.0116331 -0.0133363 0.7329501
9.86241 19195 0.5850359 -0.0212439 -0.0095397 0.0054116 0.6104080
9.88553 19644 0.3482608 -0.0104910 -0.0142149 -0.0448473 0.4178140
9.90857 20102 0.0525662 0.0061168 -0.0245669 -0.1381263 0.2091425
9.93169 20572 -0.0392382 0.0125405 -0.0262135 -0.1624186 0.1368533
9.95475 21052 -0.0676841 0.0128254 -0.0215875 -0.1400009 0.0810789
9.97785 21544 0.0037254 0.0100736 -0.0110115 -0.0802412 0.0849045
10.00093 22047 0.1751920 0.0098753 -0.0021318 -0.0353471 0.2027956
10.02402 22562 0.2764914 0.0084883 0.0027095 -0.0076729 0.2729665
10.04711 23089 0.2616445 0.0058382 0.0088581 0.0296949 0.2172533
10.07019 23628 0.2696744 0.0012902 0.0148271 0.0709099 0.1826472
10.09328 24180 0.2556978 -0.0148096 0.0072022 0.0730347 0.1902705
10.11634 24744 0.2447263 -0.0219138 -0.0009619 0.0499751 0.2176270
10.13943 25322 0.2711318 -0.0142213 0.0007563 0.0393346 0.2452622
10.16250 25913 0.2784817 -0.0067521 0.0079282 0.0565211 0.2207846
10.18562 26519 0.2200217 0.0018570 0.0110560 0.0506373 0.1564714
10.20869 27138 0.0738932 0.0046401 0.0066709 0.0217542 0.0408280
10.23178 27772 0.0406732 0.0043859 0.0043739 0.0109048 0.0210086
10.25485 28420 -0.0509089 0.0077724 0.0052093 0.0066154 -0.0705059
10.27794 29084 -0.2359535 0.0157965 0.0081500 0.0012590 -0.2611590
10.30102 29763 -0.2962895 0.0186374 0.0075316 -0.0089354 -0.3135230
10.32410 30458 -0.2404161 0.0126775 0.0118685 0.0276488 -0.2926110
10.34718 31169 -0.1403423 0.0084707 0.0175343 0.0664949 -0.2328423
10.37027 31897 -0.1327599 -0.0031450 0.0118631 0.0671781 -0.2086562
10.39336 32642 -0.1601252 -0.0157080 -0.0000028 0.0392561 -0.1836704
10.41643 33404 -0.1317321 -0.0144525 -0.0117742 -0.0227395 -0.0827659
10.43951 34184 -0.0340564 -0.0104174 -0.0170396 -0.0591546 0.0525552
10.46262 34983 -0.0528136 -0.0097960 -0.0164662 -0.0578407 0.0312893
10.48570 35800 -0.1025929 -0.0043209 -0.0084009 -0.0312022 -0.0586689
10.50879 36636 -0.2751495 0.0076964 -0.0087729 -0.0631054 -0.2109676
10.53186 37491 -0.3692966 0.0068299 -0.0162782 -0.0984660 -0.2613822
10.55495 38367 -0.2974445 0.0071240 -0.0241887 -0.1387537 -0.1416261
10.57804 39263 -0.3351554 0.0044518 -0.0309994 -0.1661263 -0.1424815
10.60112 40180 -0.2469204 0.0090737 -0.0269985 -0.1576764 -0.0713192
10.62420 41118 -0.1916562 0.0038973 -0.0190293 -0.1048894 -0.0716348
10.64728 42078 -0.2005108 -0.0031143 -0.0145658 -0.0650435 -0.1177872
