u w Y P_over_sqrtY rms16 mean16
397 2.0203562 503.77834 -0.185140 0.260997 -0.252545
399 35.466667 501.25313 0.083008 0.044138 0.019080
403 6.6337449 496.27792 0.084115 0.079481 0.068992
409 2.0197531 488.99756 -0.237060 0.234631 -0.222499
417 6.1777778 479.61631 -0.035449 0.100187 -0.089528
421 2.0191847 475.05938 -0.000579 0.129630 -0.117030
427 9.9883041 468.38407 0.013891 0.125397 0.113671
433 2.0186480 461.89376 0.136684 0.137243 0.129827
439 2.0183908 455.58087 -0.249996 0.188234 -0.178457
453 6.1632653 441.50110 0.041697 0.095265 0.087225
457 2.0176600 437.63676 -0.036059 0.070908 -0.046138
463 2.0174292 431.96544 0.035097 0.044662 -0.009259
469 9.9259259 426.43923 0.075385 0.087485 0.084115
471 6.1568627 424.62845 0.038276 0.070047 0.000557
481 6.4781145 415.80042 -0.059603 0.064347 -0.046727
487 2.0165631 410.67762 -0.146023 0.124353 -0.118090
489 6.1509434 408.99796 0.064271 0.038075 0.003756
499 2.0161616 400.80160 0.118171 0.199653 0.195265
511 9.8743961 391.38943 -0.169729 0.140853 -0.136995
523 2.0154143 382.40918 -0.002495 0.058608 0.037857
541 2.0148976 369.68577 -0.043017 0.063186 -0.007615
543 6.1355932 368.32413 0.059103 0.078496 0.055668
547 2.0147330 365.63071 0.251959 0.272582 0.269978
553 9.8311111 361.66365 -0.096077 0.120950 -0.120091
559 6.3703704 357.78175 -0.133042 0.091197 -0.077709
571 2.0141093 350.26270 -0.078943 0.098608 -0.086157
577 2.0139616 346.62045 -0.260547 0.206303 -0.203112
579 6.1269841 345.42314 -0.070690 0.142088 -0.115018
589 5.8172840 339.55857 0.041830 0.029137 0.014666
597 6.1230769 335.00838 0.036665 0.140051 -0.112683
601 2.0134003 332.77870 0.074964 0.093879 -0.052355
607 2.0132670 329.48929 -0.040877 0.066311 0.033922
613 2.0131363 326.26427 0.152890 0.178540 0.164499
619 2.0130081 323.10178 0.124989 0.062568 -0.006475
631 2.0127592 316.95721 0.021904 0.064598 0.052040
633 6.1159420 315.95577 -0.286679 0.225194 -0.209313
643 2.0125196 311.04199 -0.034220 0.184206 -0.161823
651 32.148148 307.21966 -0.006264 0.053129 -0.046866
661 2.0121766 302.57186 0.187314 0.181411 0.166026
669 6.1095890 298.95366 -0.167383 0.207579 -0.205364
673 2.0119581 297.17682 0.023002 0.125961 0.087675
679 9.7347670 294.55081 0.242002 0.240200 0.239194
687 6.1066667 291.12082 -0.272828 0.254176 -0.248986
691 2.0116448 289.43560 0.243658 0.168533 0.151467
703 5.6808081 284.49502 -0.139734 0.145123 -0.143203
709 2.0113475 282.08745 0.019117 0.111617 0.063303
721 9.7104377 277.39251 0.099343 0.057712 0.046314
723 6.1012658 276.62517 0.009797 0.081700 0.067571
727 2.0110650 275.10316 -0.070553 0.160769 -0.145504
733 2.0109739 272.85130 0.008699 0.081325 0.030754
739 2.0108844 270.63599 -0.058178 0.052810 0.012676
741 21.955556 269.90553 -0.126094 0.099462 -0.092963
751 2.0107095 266.31158 0.189769 0.141941 0.129386
757 2.0106242 264.20079 -0.042773 0.041440 -0.035713
763 9.6888889 262.12320 -0.041582 0.068968 -0.061583
769 2.0104575 260.07802 -0.102784 0.139995 -0.131985
777 31.393939 257.40026 0.028303 0.041915 0.013750
787 2.0102171 254.12961 -0.061280 0.176463 -0.163648
793 6.1832359 252.20681 0.091369 0.094985 0.085800
811 2.0099133 246.60912 -0.207183 0.152476 -0.141555
813 6.0898876 246.00246 -0.087726 0.095174 -0.060891
817 5.5863248 244.79804 0.138328 0.125182 0.116122
823 2.0097680 243.01337 -0.037699 0.056803 0.033211
829 2.0096970 241.25452 0.179314 0.141377 0.129983
831 6.0879121 240.67389 -0.265913 0.354267 -0.340979
849 6.0860215 235.57126 -0.158096 0.164054 -0.150969
853 2.0094229 234.46659 0.045719 0.110057 0.094661
859 2.0093567 232.82887 0.095587 0.157530 0.147916
871 6.1446208 229.62113 -0.021586 0.059156 -0.048621
877 2.0091638 228.05017 0.059932 0.069717 -0.006154
883 2.0091013 226.50057 -0.019358 0.066041 -0.022081
889 9.6368564 224.97188 -0.043308 0.060767 -0.054888
903 30.871795 221.48394 -0.150669 0.082128 -0.075602
907 2.0088594 220.50717 -0.260850 0.223811 -0.218921
919 2.0087432 217.62786 0.171465 0.188526 0.183425
921 6.0792079 217.15527 -0.108771 0.125070 -0.113041
937 2.0085745 213.44717 0.174655 0.150676 0.144661
939 6.0776699 212.99255 0.177100 0.105238 0.087637
949 6.1127214 210.74816 -0.061411 0.062653 -0.049024
967 2.0083074 206.82523 0.238579 0.119818 0.096334
973 9.6098765 205.54985 0.035122 0.028800 0.003730
991 2.0081054 201.81635 -0.108803 0.118650 -0.103419
993 6.0733945 201.40987 0.068173 0.107960 -0.025768
997 2.0080564 200.60181 0.158083 0.118999 0.109975
1009 2.0079602 198.21606 0.260623 0.235368 0.231790
1011 6.0720721 197.82394 0.192288 0.099316 0.036679
1021 2.0078663 195.88639 0.085755 0.048578 0.008409
1027 6.0859259 194.74197 0.001506 0.068303 0.032573
1033 2.0077745 193.61084 -0.223972 0.196345 -0.185767
1039 2.0077295 192.49278 -0.488480 0.424916 -0.422378
1047 6.0695652 191.02197 0.087958 0.056931 0.023335
1051 2.0076409 190.29496 0.151821 0.125283 -0.070577
1057 9.5873016 189.21476 -0.083287 0.100276 -0.091904
1063 2.0075543 188.14675 -0.079630 0.095148 0.038959
1069 2.0075117 187.09074 0.181004 0.120649 0.111455
1087 2.0073869 183.99264 -0.090520 0.157573 -0.128888
1093 2.0073462 182.98262 -0.092967 0.075501 -0.062612
1099 9.5773420 181.98362 0.074769 0.079994 0.072060
1101 6.0661157 181.65304 -0.063877 0.095406 -0.092572
1117 2.0071878 179.05103 -0.106009 0.137291 -0.116412
1119 6.0650407 178.73101 -0.227737 0.291275 -0.286692
1123 2.0071492 178.09439 -0.049395 0.069382 0.003440
1129 2.0071111 177.14792 0.004442 0.082333 -0.065481
1137 6.0640000 175.90150 -0.066344 0.141042 -0.129506
1141 9.5681342 175.28484 0.027917 0.063503 0.055178
1147 5.1492705 174.36792 -0.216931 0.196716 -0.193710
1153 2.0069626 173.46054 0.080823 0.096359 0.020678
1159 5.4222222 172.56255 -0.091224 0.091915 -0.072908
1171 2.0068552 170.79419 0.274790 0.373886 0.363315
1191 6.0610687 167.92611 -0.182501 0.164067 -0.133643
1201 2.0066834 166.52789 0.033378 0.082065 0.066150
1209 19.901235 165.42597 0.264408 0.193129 0.186041
1213 2.0066170 164.88046 -0.028751 0.112537 -0.102760
1227 6.0592593 162.99919 -0.020702 0.033374 0.002506
1231 2.0065200 162.46954 0.233345 0.207915 0.204048
1237 2.0064882 161.68149 0.020587 0.079083 -0.059916
1249 2.0064257 160.12810 -0.101808 0.194640 -0.189542
1261 6.0262843 158.60428 0.026617 0.090224 0.000948
1263 6.0575540 158.35313 0.155671 0.153060 0.141547
1267 9.5442561 157.85320 -0.042851 0.036449 -0.031105
1273 5.3883598 157.10919 -0.131933 0.140042 -0.133384
1279 2.0062745 156.37217 -0.107407 0.159056 -0.152300
1281 29.964912 156.12802 -0.074000 0.086454 0.051327
1291 2.0062160 154.91867 0.096630 0.061932 -0.011130
1297 2.0061872 154.20200 0.157485 0.212303 0.199730
1299 6.0559441 153.96459 0.150737 0.121487 0.063186
1303 2.0061586 153.49194 0.053195 0.061287 0.053052
1317 6.0551724 151.86029 0.140544 0.148535 0.144130
1321 2.0060744 151.40045 -0.102191 0.100996 -0.095102
1327 2.0060469 150.71590 -0.141372 0.131532 -0.106180
1333 5.0636277 150.03751 -0.065437 0.174254 -0.157080
1339 6.0112233 149.36520 0.100678 0.177294 0.169177
1351 9.5308642 148.03849 -0.170985 0.105268 -0.085284
1371 6.0529801 145.87892 0.002399 0.101281 -0.081101
1381 2.0058097 144.82259 0.020263 0.120934 -0.075761
1387 5.3603865 144.19611 0.048593 0.068442 -0.009896
1389 6.0522876 143.98848 0.124892 0.077793 0.043006
1393 9.5247863 143.57502 -0.153635 0.086704 -0.071888
1399 2.0057348 142.95926 -0.170089 0.181009 -0.166479
1407 29.777778 142.14641 -0.089605 0.074239 -0.071762
1417 5.9978836 141.14326 -0.092435 0.052764 0.009294
1423 2.0056378 140.54814 0.065255 0.071195 -0.045678
1429 2.0056140 139.95801 0.043450 0.111574 -0.091584
1443 19.434343 138.60014 0.036899 0.025882 0.013843
1447 2.0055440 138.21700 0.095959 0.077956 0.069813
1453 2.0055210 137.64625 0.130604 0.121297 0.118516
1459 2.0054983 137.08019 0.088946 0.129212 0.126450
1461 6.0496894 136.89254 -0.036388 0.171756 -0.140373
1471 2.0054533 135.96193 -0.133868 0.178046 -0.176726
1477 9.5136876 135.40961 0.056744 0.075612 0.073371
1483 2.0054091 134.86177 0.006374 0.081927 -0.063895
1489 2.0053872 134.31833 0.160738 0.183167 0.182421
1497 6.0484848 133.60053 0.054466 0.043539 0.006855
1501 5.3368889 133.24450 -0.087072 0.113355 -0.109252
1531 2.0052390 130.63357 0.005233 0.085395 -0.055116
1533 29.623188 130.46314 -0.034058 0.038094 -0.021777
1543 2.0051982 129.61763 -0.099744 0.056211 -0.006582
1549 2.0051780 129.11556 -0.005726 0.049071 -0.014942
1561 9.5038052 128.12300 -0.052767 0.052038 -0.041528
1567 2.0051184 127.63242 -0.175911 0.171129 -0.166599
1569 6.0462428 127.46973 0.004125 0.054406 -0.033873
1579 2.0050794 126.66244 -0.080049 0.143145 -0.127734
1591 4.9448329 125.70710 -0.096652 0.106726 -0.080069
1597 2.0050220 125.23482 0.073274 0.057757 0.055465
1603 9.4992593 124.76606 -0.025278 0.044031 -0.036067
1609 2.0049844 124.30081 -0.039378 0.050105 -0.044942
1621 2.0049474 123.38063 -0.234465 0.249792 -0.240526
1623 6.0446927 123.22859 0.054121 0.121560 0.117467
1627 2.0049291 122.92563 -0.173417 0.184601 -0.145345
1641 6.0441989 121.87690 -0.063405 0.063413 0.014216
1651 5.9656730 121.13870 0.142851 0.097858 0.094712
1657 2.0048397 120.70006 -0.150904 0.164520 0.026205
1659 29.493333 120.55455 -0.043322 0.059801 -0.041469
1663 2.0048222 120.26458 -0.145791 0.169335 -0.155068
1669 2.0048048 119.83223 0.184117 0.244614 0.235396
1677 19.111111 119.26058 0.106112 0.115934 0.112215
1687 9.4908579 118.55365 -0.067979 0.086239 -0.080436
1693 2.0047365 118.13349 0.023722 0.120660 0.101358
1699 2.0047198 117.71630 -0.287552 0.314324 -0.311619
1713 6.0423280 116.75423 -0.050012 0.108732 -0.099361
1723 2.0046539 116.07661 0.139722 0.170122 0.164622
1729 34.153086 115.67380 -0.026901 0.022422 -0.019239
1731 6.0418848 115.54015 -0.228195 0.250397 -0.244304
1741 2.0046056 114.87651 0.231573 0.288865 0.282620
1747 2.0045898 114.48197 0.230357 0.271187 0.269243
1753 2.0045740 114.09013 0.596165 0.551726 0.550421
1759 2.0045584 113.70097 0.100903 0.052150 0.022330
1767 17.451852 113.18619 -0.042312 0.050082 -0.035635
1777 2.0045121 112.54924 -0.056176 0.128422 -0.121758
1783 2.0044969 112.17050 0.154876 0.176084 -0.057996
1789 2.0044818 111.79430 -0.183514 0.118938 -0.092375
1801 2.0044519 111.04942 0.247524 0.293393 0.288468
1803 6.0402010 110.92623 -0.003325 0.029102 0.009108
1807 5.9489712 110.68069 -0.030272 0.030334 -0.023314
1821 6.0398010 109.82976 0.139219 0.205294 0.198784
1831 2.0043788 109.22993 -0.115594 0.108456 -0.030327
1839 6.0394089 108.75476 0.337291 0.335891 0.334247
1843 5.2845878 108.51872 0.015523 0.027841 -0.007981
1857 6.0390244 107.70059 0.184935 0.122382 0.062090
1861 2.0043080 107.46910 0.156944 0.108540 0.078592
1867 2.0042941 107.12373 -0.053195 0.052728 -0.014157
1873 2.0042804 106.78057 -0.040084 0.191891 -0.170084
1879 2.0042667 106.43960 -0.200593 0.215727 -0.208619
1891 4.9148798 105.76415 -0.090257 0.090370 -0.085403
1893 6.0382775 105.65240 -0.032130 0.054445 -0.003500
1897 9.4731586 105.42963 0.003197 0.020128 0.001282
1929 6.0375587 103.68066 0.039619 0.080472 0.050831
1933 2.0041472 103.46611 0.137437 0.082783 0.078012
1939 9.4700855 103.14595 0.107769 0.084956 0.080046
1951 2.0041089 102.51153 -0.078744 0.104736 -0.100430
1957 5.2713805 102.19724 -0.098023 0.097104 -0.089113
1963 5.9349962 101.88487 -0.007543 0.047575 -0.027052
1981 9.4671446 100.95911 -0.142147 0.105996 -0.095144
1983 6.0365297 100.85729 0.292278 0.292199 0.289796
1987 2.0040343 100.65425 0.081045 0.063236 0.050296
1993 2.0040221 100.35123 0.046168 0.071474 0.058146
1999 2.0040100 100.05003 -0.230788 0.161772 -0.149534
2011 2.0039860 99.453008 0.216011 0.132684 0.117795
2017 2.0039742 99.157164 -0.103655 0.069110 -0.019802
2019 6.0358744 99.058940 -0.033086 0.095121 -0.081821
2029 2.0039506 98.570724 -0.281294 0.197840 -0.175981
2037 29.204301 98.183603 -0.182823 0.115562 -0.107970
2041 5.9288308 97.991181 -0.048520 0.180147 -0.162492
2053 2.0039043 97.418412 -0.028250 0.174434 0.153902
2071 5.2596825 96.571704 0.042599 0.097532 0.090329
2073 6.0349345 96.478534 0.278184 0.212723 0.206159
2077 4.8841858 96.292730 -0.176711 0.226973 -0.216592
2083 2.0038480 96.015362 0.104894 0.096402 0.044964
2089 2.0038369 95.739588 -0.231387 0.188559 -0.182792
2109 17.042424 94.831674 0.114152 0.087206 0.083152
2113 2.0037933 94.652153 -0.105790 0.089416 -0.075769
2119 5.9231307 94.384143 0.080744 0.078842 0.071845
2127 6.0340426 94.029149 0.188602 0.174003 0.167725
2131 2.0037612 93.852651 -0.016387 0.162541 -0.140186
2137 2.0037506 93.589144 -0.024528 0.087950 -0.072456
2143 2.0037401 93.327112 -0.024497 0.113065 -0.103145
2149 9.4565457 93.066543 -0.038654 0.037407 -0.027007
2161 2.0037089 92.549745 -0.012520 0.043858 0.005758
2163 29.131313 92.464170 -0.070159 0.065144 -0.062952
2179 2.0036782 91.785223 -0.050694 0.163380 -0.150696
2181 6.0331950 91.701055 0.002023 0.072315 0.056586
2191 9.4541532 91.282519 0.027576 0.075307 0.070170
2199 6.0329218 90.950432 0.033270 0.081571 0.062417
2203 2.0036380 90.785293 -0.077253 0.174892 0.148986
2217 6.0326531 90.211998 -0.125899 0.071579 -0.044153
2221 2.0036085 90.049527 -0.137201 0.160338 -0.150185
2239 2.0035794 89.325592 -0.185718 0.070003 -0.044969
2251 2.0035603 88.849400 -0.230800 0.097734 -0.008347
2253 6.0321285 88.770528 -0.000848 0.068467 0.054650
2257 4.7995747 88.613203 -0.021150 0.109612 0.088102
2263 4.8588298 88.378259 -0.133027 0.103574 -0.085571
2269 2.0035320 88.144557 -0.108608 0.053229 -0.025261
2271 6.0318725 88.066931 -0.081466 0.077956 -0.065543
2281 2.0035134 87.680842 -0.244188 0.217887 -0.215315
2287 2.0035042 87.450809 0.202666 0.318341 0.310115
2289 29.066667 87.374399 0.010199 0.054735 0.038398
2293 2.0034950 87.221980 -0.054784 0.078988 0.051345
2307 6.0313725 86.692674 -0.093321 0.083917 -0.063496
2311 2.0034677 86.542622 0.049086 0.065696 0.042435
2317 9.4475025 86.318515 0.044391 0.056638 0.021410
2341 2.0034232 85.433575 -0.015294 0.103329 -0.088556
2347 2.0034144 85.215168 0.302871 0.283001 0.276681
2353 5.9083490 84.997875 -0.048752 0.073911 -0.031264
2359 9.4454454 84.781687 0.184543 0.128762 0.105920
2361 6.0306513 84.709869 0.125612 0.134051 -0.025380
2371 2.0033798 84.352594 -0.002549 0.036897 -0.012455
2377 2.0033713 84.139672 0.006301 0.079541 0.053308
2379 18.549708 84.068937 0.101754 0.113459 0.110537
2383 2.0033628 83.927822 -0.106972 0.147500 -0.138450
2389 2.0033543 83.717036 -0.061616 0.093261 -0.079125
2413 5.2314363 82.884376 0.028887 0.045474 -0.010299
2433 6.0297398 82.203042 -0.099776 0.091455 0.047565
2437 2.0032881 82.068117 0.168271 0.180326 0.177386
2443 9.4415459 81.866558 -0.125076 0.112551 -0.111110
2449 4.8375309 81.665986 -0.038471 0.059078 0.034723
2451 16.758974 81.599347 0.013023 0.040398 0.034431
2467 2.0032481 81.070126 -0.003660 0.107873 0.084106
2469 6.0293040 81.004455 -0.027733 0.066862 0.043206
2473 2.0032402 80.873433 -0.138970 0.171414 -0.169421
2479 4.7696008 80.677693 -0.121169 0.134747 -0.124491
2487 6.0290909 80.418175 0.040308 0.086621 0.065654
2503 2.0032013 79.904115 0.033961 0.093033 -0.056775
2509 5.9000588 79.713033 0.088677 0.143648 0.139224
2521 2.0031784 79.333598 0.198885 0.111121 0.058067
2539 2.0031558 78.771170 0.082423 0.075491 0.028120
2551 2.0031410 78.400627 -0.049518 0.059910 -0.029621
2557 2.0031336 78.216660 -0.177910 0.152090 -0.149574
2559 6.0282686 78.155530 0.074659 0.065442 0.051672
2569 9.4361800 77.851304 0.011550 0.052492 0.037918
2577 6.0280702 77.609624 0.037201 0.032704 -0.008425
2587 5.8962963 77.309625 -0.026647 0.084798 -0.077887
2593 2.0030900 77.130737 -0.157069 0.121019 -0.067970
2611 9.4345077 76.599004 0.061118 0.083992 0.077122
2613 18.433862 76.540375 -0.023665 0.075237 0.063011
2617 2.0030616 76.423386 0.123163 0.074807 0.066289
2623 4.7197481 76.248570 0.051278 0.063668 0.029317
2631 6.0274914 76.016724 -0.046284 0.062112 -0.052396
2641 5.2167901 75.728891 0.184897 0.120711 -0.017651
2647 2.0030269 75.557235 0.338639 0.275486 0.241484
2649 6.0273038 75.500189 0.029210 0.072646 0.044984
2653 9.4328889 75.386355 0.034233 0.026019 0.019712
2659 2.0030132 75.216247 -0.094008 0.159038 -0.155337
2667 28.910569 74.990626 -0.107185 0.109371 -0.108467
2671 2.0029996 74.878323 -0.107400 0.133930 -0.107336
2677 2.0029929 74.710497 -0.101734 0.231248 -0.221191
2683 2.0029862 74.543422 0.128475 0.077931 0.055142
2689 2.0029795 74.377092 -0.168415 0.226630 -0.220012
2701 4.7448397 74.046649 0.331356 0.275312 0.272766
2707 2.0029597 73.882527 0.271678 0.165128 0.143612
2713 2.0029531 73.719130 -0.104772 0.156455 -0.136045
2719 2.0029466 73.556455 0.195032 0.283605 0.280587
2721 6.0265781 73.502389 -0.060179 0.048876 -0.031671
2731 2.0029336 73.233248 -0.295948 0.196963 -0.190828
2743 5.8894257 72.912869 0.106500 0.062109 0.040015
2749 2.0029144 72.753729 -0.207954 0.159921 -0.091609
2757 6.0262295 72.542619 0.016146 0.113616 0.107359
2767 2.0028954 72.280448 0.080655 0.136323 0.129397
2779 9.4283291 71.968334 0.015920 0.049189 0.026289
2791 2.0028705 71.658904 0.030937 0.129757 0.122539
2797 2.0028643 71.505184 0.150392 0.184611 0.179429
2803 2.0028582 71.352123 -0.061342 0.065677 0.034317
2811 6.0257235 71.149057 -0.106183 0.089254 -0.067693
2821 30.957476 70.896845 -0.061076 0.060583 -0.049585
2833 2.0028279 70.596541 0.236746 0.340838 0.337320
2847 18.338164 70.249385 -0.130610 0.130663 -0.124259
2851 2.0028100 70.150824 0.316073 0.236283 0.208860
2857 2.0028041 70.003500 0.033436 0.089162 0.077034
2863 9.4255144 69.856794 0.053031 0.036932 0.022205
2869 5.2045351 69.710701 -0.111850 0.163934 -0.162305
2881 4.6902727 69.420340 0.009449 0.067466 -0.014731
2887 2.0027749 69.276065 -0.126960 0.228635 -0.221693
2899 5.8833080 68.989307 0.053942 0.046380 0.001673
2901 6.0249221 68.941744 -0.048594 0.041937 -0.008106
2917 2.0027463 68.563593 0.156091 0.102812 0.002767
2919 28.829630 68.516615 0.158460 0.122869 0.117487
2923 4.7240404 68.422853 0.033486 0.136605 0.122589
2947 9.4228617 67.865626 -0.001074 0.057818 -0.036536
2953 2.0027128 67.727735 0.067146 0.069794 0.030746
2971 2.0026963 67.317402 0.089740 0.122419 -0.045930
2973 6.0243161 67.272116 0.152482 0.087121 0.075826
2977 5.8804938 67.181727 -0.177225 0.159096 -0.147706
2983 5.1991285 67.046597 -0.068882 0.044942 -0.032518
2991 6.0241692 66.867268 -0.023564 0.112679 -0.096768
3001 2.0026693 66.644452 -0.188241 0.201300 -0.194742
3007 4.7901235 66.511473 -0.233947 0.151899 -0.137381
3019 2.0026534 66.247102 -0.148576 0.145662 -0.121431
3027 6.0238806 66.072019 -0.014281 0.102272 0.089651
3031 9.4203574 65.984823 -0.155375 0.076968 -0.065428
3037 2.0026377 65.854462 -0.023739 0.067722 -0.057312
3049 2.0026273 65.595277 0.082589 0.128396 0.118908
3061 2.0026169 65.338125 0.066349 0.116979 0.105274
3063 6.0235988 65.295462 0.329904 0.304927 0.301125
3067 2.0026118 65.210303 0.001291 0.025527 0.010171
3073 9.4191571 65.082981 -0.045390 0.047286 -0.036223
3079 2.0026016 64.956155 -0.097418 0.094385 -0.073771
3081 18.257778 64.913989 0.124549 0.129724 0.127387
3097 5.1941300 64.578624 -0.062811 0.059709 -0.032676
3099 6.0233236 64.536947 -0.229137 0.244325 -0.238884
3109 2.0025765 64.329366 -0.097988 0.201914 -0.195088
3117 6.0231884 64.164261 0.047499 0.059533 -0.001495
3121 2.0025666 64.082025 -0.002172 0.061434 -0.021542
3133 5.8752930 63.836578 0.070200 0.036784 0.002590
3139 4.6659234 63.714559 -0.025024 0.142533 -0.130868
3153 6.0229226 63.431652 0.205165 0.151027 0.143616
3163 2.0025324 63.231110 -0.006466 0.044487 -0.025166
3169 2.0025276 63.111392 0.203065 0.250474 0.245679
3171 28.761905 63.071586 -0.031371 0.153423 -0.143357
3181 2.0025181 62.873310 -0.143241 0.125411 -0.105006
3187 2.0025134 62.754942 -0.246872 0.237005 -0.231728
3189 6.0226629 62.715585 -0.028145 0.057477 -0.043118
3193 4.7781519 62.637018 0.001616 0.048896 0.014144
3199 9.4157469 62.519537 0.055734 0.052596 -0.000567
3207 6.0225352 62.363580 -0.143828 0.085187 -0.051129
3217 2.0024899 62.169723 0.018850 0.115314 -0.094183
3229 2.0024806 61.938681 0.103546 0.075579 0.047294
3241 9.4146696 61.709349 -0.194811 0.126700 -0.114544
3253 2.0024623 61.481709 0.168171 0.087057 0.067181
3259 2.0024578 61.368518 -0.060998 0.129244 -0.118189
3261 6.0221607 61.330880 -0.334929 0.288725 -0.286811
3271 2.0024487 61.143381 0.094971 0.053235 0.027109
3279 6.0220386 60.994206 0.067968 0.122770 0.103236
3297 28.732026 60.661207 0.019705 0.070866 0.055606
3301 2.0024264 60.587701 -0.092240 0.150465 -0.127581
3307 2.0024220 60.477774 -0.039706 0.040760 -0.012498
3313 2.0024176 60.368246 -0.099668 0.132395 -0.125122
3319 2.0024133 60.259114 0.109156 0.052136 0.002095
3331 2.0024046 60.042029 -0.068961 0.080659 -0.072421
3343 2.0023959 59.826503 -0.007576 0.119752 0.104490
3351 6.0215633 59.683677 0.158950 0.134376 0.126606
3361 2.0023831 59.506099 -0.006210 0.069847 -0.062147
3367 30.231201 59.400059 0.040849 0.029669 0.020430
3369 6.0214477 59.364797 -0.024671 0.094858 -0.066637
3373 2.0023746 59.294397 -0.187132 0.140950 -0.132727
3379 4.7675485 59.189109 -0.163441 0.152884 -0.150822
3387 6.0213333 59.049306 -0.011605 0.061098 -0.047267
3391 2.0023620 58.979652 0.000053 0.062135 0.033012
3397 4.6454701 58.875478 0.419394 0.390744 0.386172
3409 9.4106280 58.668231 0.010955 0.053645 -0.027399
3423 28.704403 58.428279 -0.012736 0.030855 -0.006547
3433 2.0023330 58.258083 -0.226655 0.300865 -0.288253
3439 5.1811676 58.156441 0.110370 0.093598 0.087262
3441 15.447811 58.122639 -0.289778 0.224824 -0.219977
3457 2.0023168 57.853630 -0.200061 0.168445 -0.164704
3459 6.0208877 57.820179 -0.062954 0.071749 -0.058861
3463 2.0023128 57.753393 0.033038 0.084413 -0.059525
3469 2.0023088 57.653502 0.274977 0.266855 0.255589
3477 16.266667 57.520851 0.054036 0.057392 0.049767
3493 9.4087542 57.257372 -0.031981 0.045076 -0.022882
3499 2.0022890 57.159188 0.070477 0.102318 0.093090
3511 2.0022812 56.963828 -0.081245 0.137733 -0.121976
