u w Y P_over_sqrtY rms16 mean16
2239 2.0035794 4466.2796 -0.112137 0.057052 -0.047182
2251 2.0035603 4442.4700 -0.129446 0.128167 -0.124289
2253 6.0321285 4438.5264 -0.200410 0.160894 -0.141039
2257 4.7995747 4430.6602 -0.228999 0.300170 -0.297320
2263 4.8588298 4418.9129 0.268377 0.184111 0.178016
2269 2.0035320 4407.2279 -0.069908 0.082616 0.044794
2271 6.0318725 4403.3465 0.075822 0.088741 0.083020
2281 2.0035134 4384.0421 -0.245098 0.170808 -0.161913
2287 2.0035042 4372.5404 0.445415 0.334320 0.328914
2289 29.066667 4368.7200 -0.077377 0.057115 -0.040359
2293 2.0034950 4361.0990 0.056431 0.065356 0.026372
2307 6.0313725 4334.6337 0.034560 0.107646 0.083561
2311 2.0034677 4327.1311 0.056944 0.046500 -0.001441
2317 9.4475025 4315.9258 0.052811 0.037461 0.026529
2341 2.0034232 4271.6788 0.136458 0.066102 0.048678
2347 2.0034144 4260.7584 0.078402 0.108554 0.070848
2353 5.9083490 4249.8938 0.158565 0.099968 0.081679
2359 9.4454454 4239.0844 0.155861 0.107244 0.099101
2361 6.0306513 4235.4934 0.089231 0.146528 0.142250
2371 2.0033798 4217.6297 0.167248 0.073789 0.066206
2377 2.0033713 4206.9836 0.044598 0.062416 -0.030429
2379 18.549708 4203.4468 -0.040443 0.125256 -0.105462
2383 2.0033628 4196.3911 -0.027256 0.088127 -0.016348
2389 2.0033543 4185.8518 0.082404 0.061817 0.049359
2413 5.2314363 4144.2188 -0.014944 0.133980 -0.114015
2433 6.0297398 4110.1521 0.093830 0.237851 0.223501
2437 2.0032881 4103.4058 0.201290 0.195011 0.170874
2443 9.4415459 4093.3279 0.025335 0.043365 0.008110
2449 4.8375309 4083.2993 0.033279 0.150194 0.137320
2451 16.758974 4079.9674 -0.057831 0.080151 -0.034759
2467 2.0032481 4053.5063 0.024541 0.111335 -0.072858
2469 6.0293040 4050.2228 -0.090481 0.091507 -0.084264
2473 2.0032402 4043.6717 0.243908 0.120549 0.101741
2479 4.7696008 4033.8846 0.032294 0.042770 0.003444
2487 6.0290909 4020.9087 -0.015398 0.098302 0.007425
2503 2.0032013 3995.2058 -0.360140 0.255728 -0.198330
2509 5.9000588 3985.6517 0.092357 0.112786 0.104045
2521 2.0031784 3966.6799 -0.091557 0.079075 -0.028987
2539 2.0031558 3938.5585 -0.044778 0.139913 -0.125580
2551 2.0031410 3920.0314 0.088809 0.169289 0.160214
2557 2.0031336 3910.8330 -0.395623 0.359164 -0.358420
2559 6.0282686 3907.7765 0.085607 0.104176 0.095812
2569 9.4361800 3892.5652 -0.061226 0.064835 0.031098
2577 6.0280702 3880.4812 0.054226 0.112104 -0.056155
2587 5.8962963 3865.4813 0.089382 0.057198 0.048716
2593 2.0030900 3856.5368 0.010396 0.139125 -0.112415
2611 9.4345077 3829.9502 -0.107478 0.079252 -0.059624
2613 18.433862 3827.0188 -0.058286 0.123629 -0.107096
2617 2.0030616 3821.1693 -0.103343 0.069145 -0.058209
2623 4.7197481 3812.4285 0.151371 0.131502 0.123826
2631 6.0274914 3800.8362 -0.122344 0.101399 -0.095441
2641 5.2167901 3786.4445 0.212605 0.227711 0.221008
2647 2.0030269 3777.8617 -0.005980 0.034367 0.001721
2649 6.0273038 3775.0094 -0.079630 0.094076 -0.076249
2653 9.4328889 3769.3178 0.018440 0.033090 0.011041
2659 2.0030132 3760.8123 0.219291 0.208304 0.200949
2667 28.910569 3749.5313 0.072624 0.020579 0.006887
2671 2.0029996 3743.9161 0.161807 0.106718 0.024334
2677 2.0029929 3735.5248 0.071858 0.086243 0.069462
2683 2.0029862 3727.1711 -0.119167 0.146964 -0.137494
2689 2.0029795 3718.8546 -0.120682 0.135843 -0.121137
2701 4.7448397 3702.3325 0.092283 0.168584 0.145473
2707 2.0029597 3694.1263 0.019971 0.068969 0.034920
2713 2.0029531 3685.9565 -0.026434 0.097171 -0.077952
2719 2.0029466 3677.8227 -0.001345 0.070485 -0.056166
2721 6.0265781 3675.1194 -0.137432 0.089883 0.034739
2731 2.0029336 3661.6624 -0.068116 0.120655 -0.103721
2743 5.8894257 3645.6435 -0.029034 0.061589 -0.002700
2749 2.0029144 3637.6864 0.374723 0.303935 0.299682
2757 6.0262295 3627.1309 -0.007306 0.046925 0.001512
2767 2.0028954 3614.0224 -0.019822 0.090843 0.057319
2779 9.4283291 3598.4167 -0.041394 0.043327 0.028746
2791 2.0028705 3582.9452 -0.350903 0.234526 -0.223846
2797 2.0028643 3575.2592 -0.136197 0.170353 -0.167131
2803 2.0028582 3567.6061 0.370575 0.289413 0.269161
2811 6.0257235 3557.4529 -0.190256 0.196167 -0.194408
2821 30.957476 3544.8423 0.025732 0.030786 0.023683
2833 2.0028279 3529.8270 -0.061305 0.067357 -0.034738
2847 18.338164 3512.4693 0.001872 0.059330 0.008216
2851 2.0028100 3507.5412 -0.018883 0.143794 0.106371
2857 2.0028041 3500.1750 -0.172615 0.137079 -0.121647
2863 9.4255144 3492.8397 -0.235977 0.228632 -0.226285
2869 5.2045351 3485.5350 0.210346 0.284798 0.277903
2881 4.6902727 3471.0170 -0.053676 0.038135 -0.005469
2887 2.0027749 3463.8033 0.059976 0.069794 -0.007466
2899 5.8833080 3449.4653 0.034628 0.046260 0.024104
2901 6.0249221 3447.0872 0.246732 0.271499 0.268979
2917 2.0027463 3428.1796 0.013981 0.110328 0.059931
2919 28.829630 3425.8308 -0.120640 0.117191 -0.102892
2923 4.7240404 3421.1427 0.070951 0.095387 0.086870
2947 9.4228617 3393.2813 0.098709 0.057086 0.026907
2953 2.0027128 3386.3867 0.338714 0.249007 0.245607
2971 2.0026963 3365.8701 0.198706 0.135317 0.094242
2973 6.0243161 3363.6058 -0.027179 0.061680 -0.003318
2977 5.8804938 3359.0863 0.110447 0.090875 0.082868
2983 5.1991285 3352.3299 0.005963 0.068079 0.027946
2991 6.0241692 3343.3634 -0.061254 0.163567 -0.138313
3001 2.0026693 3332.2226 -0.110026 0.152772 -0.141798
3007 4.7901235 3325.5737 0.036784 0.061806 0.014521
3019 2.0026534 3312.3551 0.178214 0.106207 -0.003193
3027 6.0238806 3303.6009 -0.093258 0.053419 -0.044119
3031 9.4203574 3299.2412 0.132715 0.112176 0.089849
3037 2.0026377 3292.7231 0.105627 0.145190 0.142177
3049 2.0026273 3279.7639 0.090641 0.065690 -0.004799
3061 2.0026169 3266.9062 0.051311 0.075518 -0.011587
3063 6.0235988 3264.7731 0.092339 0.096926 0.086606
3067 2.0026118 3260.5152 0.168224 0.141830 0.106333
3073 9.4191571 3254.1490 0.089300 0.061020 0.046742
3079 2.0026016 3247.8077 0.066577 0.112223 0.102844
3081 18.257778 3245.6994 -0.003683 0.103030 0.083884
3097 5.1941300 3228.9312 -0.047508 0.119255 -0.086679
3099 6.0233236 3226.8474 0.110888 0.099600 0.004901
3109 2.0025765 3216.4683 0.221621 0.157817 0.143813
3117 6.0231884 3208.2130 -0.064591 0.133098 -0.115184
3121 2.0025666 3204.1012 -0.138079 0.111929 0.025453
3133 5.8752930 3191.8289 -0.039678 0.038871 -0.017611
3139 4.6659234 3185.7279 0.025078 0.182075 0.164122
3153 6.0229226 3171.5826 0.029083 0.038414 0.012027
3163 2.0025324 3161.5555 0.096736 0.096312 0.017531
3169 2.0025276 3155.5696 0.231368 0.214418 0.197059
3171 28.761905 3153.5793 -0.063215 0.078138 -0.073309
3181 2.0025181 3143.6655 -0.042701 0.049209 -0.010059
3187 2.0025134 3137.7471 0.185399 0.169176 0.164612
3189 6.0226629 3135.7792 -0.047537 0.104348 -0.095268
3193 4.7781519 3131.8509 0.121500 0.148935 0.142401
3199 9.4157469 3125.9769 -0.042272 0.037409 0.018628
3207 6.0225352 3118.1790 -0.257658 0.224133 -0.221322
3217 2.0024899 3108.4862 0.224296 0.234471 0.227837
3229 2.0024806 3096.9340 0.110026 0.055427 0.013669
3241 9.4146696 3085.4674 -0.249558 0.196225 -0.184299
3253 2.0024623 3074.0855 -0.035833 0.062493 0.051596
3259 2.0024578 3068.4259 0.108929 0.157433 0.145500
3261 6.0221607 3066.5440 -0.069135 0.134056 -0.118355
3271 2.0024487 3057.1691 0.034673 0.104232 0.061670
3279 6.0220386 3049.7103 0.116138 0.110809 0.051564
3297 28.732026 3033.0604 0.105935 0.066156 0.039255
3301 2.0024264 3029.3850 0.120952 0.090878 0.071091
3307 2.0024220 3023.8887 -0.149581 0.078330 -0.007187
3313 2.0024176 3018.4123 0.124708 0.105740 0.100338
3319 2.0024133 3012.9557 -0.039220 0.040109 -0.031312
3331 2.0024046 3002.1015 0.131117 0.089464 0.063333
3343 2.0023959 2991.3252 -0.133183 0.119031 -0.110051
3351 6.0215633 2984.1838 0.032195 0.077177 0.043932
3361 2.0023831 2975.3050 0.058641 0.051866 0.014001
3367 30.231201 2970.0030 0.001285 0.012794 -0.005051
3369 6.0214477 2968.2398 0.254885 0.208836 0.195216
3373 2.0023746 2964.7198 -0.048676 0.087552 -0.069864
3379 4.7675485 2959.4555 -0.157980 0.080541 -0.073608
3387 6.0213333 2952.4653 0.146814 0.273933 0.258951
3391 2.0023620 2948.9826 -0.163933 0.084167 -0.005677
3397 4.6454701 2943.7739 0.115202 0.186672 0.181485
3409 9.4106280 2933.4116 -0.172398 0.122988 -0.115008
3423 28.704403 2921.4140 0.042955 0.027927 0.015748
3433 2.0023330 2912.9042 0.127032 0.121304 0.028041
3439 5.1811676 2907.8220 -0.047113 0.065291 -0.040694
3441 15.447811 2906.1319 0.015460 0.034096 0.015201
