u x r1 r2
10.8145 4.9735e+4 5.36617e+1 -2.15848e+3
10.8226 5.0140e+4 5.18742e+1 -2.12934e+3
10.8307 5.0547e+4 5.15669e+1 -2.10054e+3
10.8388 5.0959e+4 5.58796e+1 -2.07200e+3
10.8469 5.1373e+4 5.83593e+1 -2.04367e+3
10.8550 5.1791e+4 5.91488e+1 -2.01564e+3
10.8631 5.2212e+4 5.75705e+1 -1.98794e+3
10.8712 5.2637e+4 5.92468e+1 -1.96053e+3
10.8793 5.3065e+4 5.62265e+1 -1.93337e+3
10.8874 5.3497e+4 5.73960e+1 -1.90655e+3
10.8955 5.3932e+4 5.62079e+1 -1.87999e+3
10.9036 5.4371e+4 5.83168e+1 -1.85373e+3
10.9117 5.4813e+4 6.07690e+1 -1.82773e+3
10.9198 5.5259e+4 5.46627e+1 -1.80201e+3
10.9279 5.5708e+4 5.93879e+1 -1.77660e+3
10.9360 5.6162e+4 5.67998e+1 -1.75141e+3
10.9441 5.6618e+4 6.31619e+1 -1.72649e+3
10.9522 5.7079e+4 6.54195e+1 -1.70175e+3
10.9603 5.7543e+4 6.54857e+1 -1.67728e+3
10.9684 5.8011e+4 6.77002e+1 -1.65307e+3
10.9765 5.8483e+4 6.77251e+1 -1.62909e+3
10.9846 5.8959e+4 6.44949e+1 -1.60539e+3
10.9927 5.9439e+4 6.12935e+1 -1.58202e+3
11.0008 5.9922e+4 5.78758e+1 -1.55892e+3
11.0089 6.0410e+4 5.96537e+1 -1.53610e+3
11.0170 6.0901e+4 6.17176e+1 -1.51349e+3
11.0251 6.1396e+4 6.16262e+1 -1.49111e+3
11.0332 6.1896e+4 5.86068e+1 -1.46898e+3
11.0413 6.2399e+4 6.02509e+1 -1.44710e+3
11.0494 6.2907e+4 5.80958e+1 -1.42547e+3
11.0575 6.3419e+4 6.04789e+1 -1.40408e+3
11.0656 6.3935e+4 5.93400e+1 -1.38290e+3
11.0737 6.4455e+4 5.89609e+1 -1.36201e+3
11.0818 6.4979e+4 5.96111e+1 -1.34129e+3
11.0899 6.5507e+4 5.78024e+1 -1.32080e+3
11.0980 6.6040e+4 5.63003e+1 -1.30060e+3
11.1061 6.6578e+4 5.44250e+1 -1.28063e+3
11.1142 6.7119e+4 5.22873e+1 -1.26090e+3
11.1223 6.7665e+4 5.30806e+1 -1.24140e+3
11.1304 6.8216e+4 5.52646e+1 -1.22210e+3
11.1385 6.8770e+4 4.93123e+1 -1.20303e+3
11.1466 6.9330e+4 4.70073e+1 -1.18424e+3
11.1547 6.9894e+4 4.42024e+1 -1.16568e+3
11.1628 7.0462e+4 4.86858e+1 -1.14731e+3
11.1709 7.1036e+4 4.76266e+1 -1.12913e+3
11.1790 7.1613e+4 4.40489e+1 -1.11118e+3
11.1871 7.2196e+4 4.46621e+1 -1.09343e+3
11.1952 7.2783e+4 4.68504e+1 -1.07589e+3
11.2033 7.3375e+4 5.29906e+1 -1.05847e+3
11.2114 7.3972e+4 5.10517e+1 -1.04122e+3
11.2195 7.4574e+4 5.06610e+1 -1.02416e+3
11.2276 7.5181e+4 5.13433e+1 -1.00728e+3
11.2357 7.5792e+4 4.75562e+1 -9.90620e+2
11.2439 7.6409e+4 5.20503e+1 -9.74101e+2
11.2520 7.7030e+4 5.24178e+1 -9.57795e+2
11.2601 7.7657e+4 4.98116e+1 -9.41654e+2
11.2682 7.8288e+4 4.77808e+1 -9.25756e+2
11.2763 7.8925e+4 4.83318e+1 -9.10009e+2
11.2844 7.9567e+4 4.73234e+1 -8.94431e+2
11.2925 8.0215e+4 5.09744e+1 -8.78981e+2
11.3006 8.0867e+4 4.91342e+1 -8.63703e+2
11.3087 8.1525e+4 4.81262e+1 -8.48645e+2
11.3168 8.2188e+4 4.87789e+1 -8.33746e+2
11.3249 8.2857e+4 4.74804e+1 -8.19043e+2
11.3330 8.3531e+4 4.28630e+1 -8.04558e+2
11.3411 8.4210e+4 4.17744e+1 -7.90242e+2
11.3492 8.4895e+4 3.29106e+1 -7.76185e+2
11.3573 8.5586e+4 3.92274e+1 -7.62303e+2
11.3654 8.6282e+4 3.56347e+1 -7.48562e+2
11.3735 8.6984e+4 3.54536e+1 -7.34986e+2
11.3816 8.7691e+4 3.31850e+1 -7.21594e+2
11.3897 8.8405e+4 2.85915e+1 -7.08421e+2
11.3978 8.9124e+4 3.07436e+1 -6.95381e+2
11.4059 8.9849e+4 2.82102e+1 -6.82521e+2
11.4140 9.0580e+4 2.32897e+1 -6.69861e+2
11.4221 9.1317e+4 2.36890e+1 -6.57372e+2
11.4302 9.2059e+4 2.77864e+1 -6.45006e+2
