u x n2
10.7547 4.6847e+4 -3.94028e+0
10.7621 4.7197e+4 -3.90747e+0
10.7695 4.7548e+4 -3.88116e+0
10.7769 4.7903e+4 -3.86216e+0
10.7843 4.8260e+4 -3.85639e+0
10.7918 4.8619e+4 -3.85353e+0
10.7992 4.8982e+4 -3.85595e+0
10.8066 4.9347e+4 -3.84070e+0
10.8140 4.9714e+4 -3.80583e+0
10.8215 5.0085e+4 -3.76175e+0
10.8289 5.0458e+4 -3.72671e+0
10.8363 5.0834e+4 -3.69794e+0
10.8437 5.1213e+4 -3.65107e+0
10.8512 5.1594e+4 -3.59447e+0
10.8586 5.1979e+4 -3.53672e+0
10.8660 5.2366e+4 -3.49366e+0
10.8734 5.2757e+4 -3.47118e+0
10.8809 5.3150e+4 -3.46301e+0
10.8883 5.3546e+4 -3.46178e+0
10.8957 5.3945e+4 -3.43628e+0
10.9031 5.4347e+4 -3.40065e+0
10.9106 5.4752e+4 -3.35244e+0
10.9180 5.5160e+4 -3.31476e+0
10.9254 5.5571e+4 -3.30075e+0
10.9328 5.5985e+4 -3.27844e+0
10.9403 5.6402e+4 -3.26074e+0
10.9477 5.6823e+4 -3.24361e+0
10.9551 5.7246e+4 -3.20878e+0
10.9625 5.7673e+4 -3.17797e+0
10.9700 5.8102e+4 -3.14613e+0
10.9774 5.8535e+4 -3.09773e+0
10.9848 5.8972e+4 -3.06489e+0
10.9922 5.9411e+4 -3.04794e+0
10.9997 5.9854e+4 -3.05070e+0
11.0071 6.0300e+4 -3.04050e+0
11.0145 6.0749e+4 -3.02153e+0
11.0219 6.1202e+4 -2.99567e+0
11.0294 6.1658e+4 -2.98486e+0
11.0368 6.2118e+4 -2.98904e+0
11.0442 6.2580e+4 -2.99191e+0
11.0516 6.3047e+4 -3.00369e+0
11.0591 6.3517e+4 -3.02056e+0
11.0665 6.3990e+4 -3.04137e+0
11.0739 6.4467e+4 -3.07378e+0
11.0813 6.4947e+4 -3.05767e+0
11.0888 6.5431e+4 -3.01487e+0
11.0962 6.5919e+4 -2.96901e+0
11.1036 6.6410e+4 -2.91603e+0
11.1110 6.6905e+4 -2.87643e+0
11.1185 6.7404e+4 -2.84633e+0
11.1259 6.7906e+4 -2.81958e+0
11.1333 6.8412e+4 -2.77772e+0
11.1407 6.8922e+4 -2.76319e+0
11.1482 6.9435e+4 -2.74784e+0
11.1556 6.9953e+4 -2.73042e+0
11.1630 7.0474e+4 -2.71474e+0
11.1704 7.0999e+4 -2.71186e+0
11.1779 7.1528e+4 -2.70411e+0
11.1853 7.2062e+4 -2.69660e+0
11.1927 7.2599e+4 -2.69461e+0
11.2001 7.3140e+4 -2.69998e+0
11.2075 7.3685e+4 -2.68914e+0
11.2150 7.4234e+4 -2.69257e+0
11.2224 7.4787e+4 -2.71053e+0
11.2298 7.5344e+4 -2.73155e+0
11.2372 7.5906e+4 -2.75881e+0
11.2447 7.6471e+4 -2.76305e+0
11.2521 7.7041e+4 -2.77497e+0
11.2595 7.7615e+4 -2.78110e+0
11.2669 7.8194e+4 -2.77131e+0
11.2744 7.8777e+4 -2.74223e+0
11.2818 7.9364e+4 -2.72518e+0
11.2892 7.9955e+4 -2.70864e+0
11.2966 8.0551e+4 -2.66956e+0
11.3041 8.1151e+4 -2.64438e+0
11.3115 8.1756e+4 -2.63401e+0
11.3189 8.2365e+4 -2.62460e+0
11.3263 8.2979e+4 -2.60818e+0
11.3338 8.3597e+4 -2.59244e+0
